ざ【座】
ざいむしょひょうのとうめいせいをたかめる【財務諸表の透明性を高める[向上させる]】
ざいむないようのあっか【財務内容の悪化】
ざいめい【罪名】
ざいもく【材木】
ざいや【在野】
ざいらい【在来】
ざいりゅう【在留】
ざいりゅうかーどをけいたいする【在留カードを携帯する】
ざいりゅうしかく【在留資格】
ざいりゅうしかく【在留資格】
ざいりゅうしかくがいかつどう【在留資格外活動】
ざいりゅうしかくにんていしょうめいしょ【在留資格認定証明書】
ざいりゅうしかくのへんこう【在留資格の変更】
ざいりょう【材料】
ざいりょう【材料】
ざいりょうこうにゅうかかく【材料購入価格】
ざいりょうしけん【材料試験】
ざいりょうちょうたつひ【材料調達費】
ざいりょく【財力】
ざいん【座員】
ざい－【在－】
ざがく【座学】
ざがしら【座頭】
ざがね【座金】
ざきょう【座興】
ざくぎり【ざく切り】
ざくざく
ざくりと
ざくろ【石榴柘榴】
ざくろのき【ザクロの木】
ざこ【雑魚】
ざこう【座高】
ざこつ【座骨坐骨】
ざこね【雑魚寝】
ざざっ
ざし【座視坐視】
ざしき【座敷】
ざしょう【座礁坐礁】
ざしょう【挫傷】
ざす【座す坐す】
ざせき【座席】
ざせつ【挫折】
ざせつ【挫折】
ざせつからえたきょうくん【挫折から得た教訓】
ざせつする【挫折する[がある]】
ざせつにおわる【挫折に終わる】
ざせつをのりこえる【挫折を乗り越える】
ざぜん【座禅坐禅】
ざぞう【座像坐像】
ざたく【座卓】
ざだん【座談】
ざちゅう【座中】
ざちょう【座長】
ざっか【雑貨】
ざっかん【雑感】
ざっき【雑記】
ざっきょ【雑居】
ざっきん【雑菌】
ざっくばらん
ざっくり
ざっけん【雑件】
ざっこく【雑穀】
ざっこん【雑婚】
ざっし【雑誌】
ざっし【雑誌】
ざっしきしゃ【雑誌記者】
ざっしきじ【雑誌記事】
ざっしたいだんのさいご【雑誌対談の最後】
ざっしなどしゅっぱんぶつへのけいげんぜいりつ【雑誌など出版物への軽減税率】
ざっしのあんけーと【雑誌のアンケート】
ざっしへんしゅうちょう【雑誌編集長】
ざっしゅ【雑種】
ざっしゅうにゅう【雑収入】
ざっしょ【雑書】
ざっしょく【雑食】
ざっしをかう【雑誌を買う】
ざっしをこうどくする【雑誌を購読する】
ざっしをはつばいする【雑誌を発売する】
ざっそう【雑草】
ざっそん【雑損】
ざっそんしつ【雑損失】
ざった【雑多】
ざっと
ざっとう【雑踏】
ざっぱく【雑駁】
ざっぴ【雑費】
ざっぴん【雑品】
ざっぽう【雑報】
ざつ【雑】
ざつえき【雑役】
ざつおん【雑音】
ざつがく【雑学】
ざつき【座付き】
ざつじ【雑事】
ざつぜん【雑然】
ざつだん【雑談】
ざつねん【雑念】
ざつのう【雑嚢】
ざつぶん【雑文】
ざつむ【雑務】
ざつよう【雑用】
ざつろく【雑録】
ざとう【座頭】
ざひょう【座標】
ざぶざぶ
ざぶっ
ざぶとん【座布団座蒲団】
ざぶり
ざぶん
ざぶんざぶん
ざま【様】
ざもと【座元】
ざやく【座薬坐薬】
ざゆう【座右】
ざよく【座浴坐浴】
ざら
ざらがみ【ざら紙】
ざらざら
ざらっ
ざらつく
ざらめ【粗目】
ざりがに【蝲蛄】
ざる【笊】
ざるそば【笊蕎麦】
ざわざわ【騒騒】
ざわつく【騒つく】
ざわめき【騒めき】
ざわめく【騒めく】
ざんえい【残影】
ざんか【残花】
ざんがい【残骸】
ざんがく【残額】
ざんき【慚愧】
ざんきょう【残響】
ざんきん【残金】
ざんぎく【残菊】
ざんぎゃく【残虐】
ざんぎゃく【残虐】
ざんぎゃくなけいばつ【残虐な刑罰】
ざんぎゃくなさでぃすと【残虐なサディスト】
ざんぎゃくなへいき【残虐な兵器】
ざんぎゃくひどうなこうい【残虐非道な行為】
ざんぎょう【残業】
ざんぎょう【残業】
ざんぎょうかっと【残業カット】
ざんぎょうじかん【残業時間】
ざんぎょうじかんのけいさん【残業時間の計算】
ざんぎょうする【残業する】
ざんぎょうだい【残業代】
ざんぎょうのうむ【残業の有無】
ざんぎょうのめんじょ【残業の免除】
ざんぎょうをさせられる【残業をさせられる】
ざんぎり【散切り】
ざんげ【懺悔】
ざんげつ【残月】
ざんげん【讒言】
ざんこう【残光】
ざんこく【残酷】
ざんごう【塹壕】
ざんさつ【惨殺】
ざんさつ【斬殺】
ざんざい【斬罪】
ざんし【惨死】
ざんし【残滓】
ざんしゅ【斬首】
ざんしょ【残暑】
ざんしょう【残照】
ざんしん【斬新】
ざんしんなでざいん【斬新なデザイン】
ざんしんなはっそう【斬新な発想】
ざんじ【暫時】
ざんせつ【残雪】
ざんそ【讒訴】
ざんそん【残存】
ざんぞう【残像】
ざんぞんきのう【残存機能】
ざんだか【残高】
ざんだか【残高】
ざんだかが…ある【残高が…ある】
ざんだかしょうかい【残高照会】
ざんてい【暫定】
ざんてい【暫定】
ざんていけんぽう【暫定憲法】
ざんていせいけん【暫定政権】
ざんていぜいりつ【暫定税率】
ざんていてきせんじゅつ【暫定的戦術】
ざんていてきなあんぜんきじゅん【暫定的な安全基準】
ざんていてきなせんじゅつ【暫定的な(選挙向け)戦術】
ざんていてきなそちをさいようする【暫定的な措置を採用する】
ざんていてきなとういつせいふ【暫定的な統一政府】
ざんていてきに…にしきんをていきょうする【暫定的に…に資金を提供する】
ざんていてきに【暫定的に】
ざんていてきにぶんえんがみとめられた【暫定的に分煙が認められた】
ざんていとうち【暫定統治】
ざんていばん【暫定版】
ざんてき【残敵】
ざんとう【残党】
ざんにん【残忍】
ざんねん【残念】
ざんぱん【残飯】
ざんぴん【残品】
ざんぶ
ざんぶ【残部】
ざんぶり
ざんぺん【残片】
ざんぼう【讒謗】
ざんむ【残務】
ざんやく【残薬】
ざんよ【残余】
ざんりゅう【残留】
ざんるい【残塁】
ざー
ひみつけいさつ【秘密警察】
ザイル
ザイール
ザグレブ
ザッ
ザバッ
ザブザブ
ザブン
ザブーン
ザボン【朱欒】
ザルツブルク
ザワザワ
ザンべジがわ【ザンべジ川】
ザンジバル
ザンビア
ザーサイ
ザーメン
ザール
ザールブリュッケン
－ざかり【－盛り】
－ざま【－様】
－ざるをえない【－ざるを得ない】
－ざんまい【－三昧】
ざいあくかん【罪悪感】
ざいあくし【罪悪視】
ざいかいじん【財界人】
ざいがいけんきゅういん【在外研究員】
ざいがいこうかん【在外公館】
ざいがいしさん【在外資産】
ざいがいだいりてん【在外代理店】
ざいがいとうし【在外投資】
ざいがいほうじん【在外邦人】
ざいがくきかん【在学期間】
ざいがくしょうめいしょ【在学証明書】
ざいがくせい【在学生】
ざいけいちょちく【財形貯蓄】
ざいげんなん【財源難】
ざいこいっそう【在庫一掃［処分］】
ざいこうせい【在校生】
ざいこかじょう【在庫過剰】
ざいこかんり【在庫管理】
ざいこしらべ【在庫調べ】
ざいこせいり【在庫整理】
ざいこちょうせい【在庫調整】
ざいこひん【在庫品】
ざいごうぐんじん【在郷軍人】
ざいごうぐんじんかい【在郷軍人会】
ざいさんか【財産家】
ざいさんけん【財産権】
ざいさんさしおさえ【財産差し押さえ】
ざいさんしゅとくぜい【財産取得税】
ざいさんぜい【財産税】
ざいさんそうぞく【財産相続】
ざいさんぶんよ【財産分与】
ざいさんもくろく【財産目録】
ざいしょくきかん【在職期間】
ざいじゅうしゃ【在住者】
ざいじょうにんぴ【罪状認否】
ざいせいえんじょ【財政援助】
ざいせいがく【財政学】
ざいせいきき【財政危機】
ざいせいこうちょくか【財政硬直化】
ざいせいこもん【財政顧問】
ざいせいさいけん【財政再建】
ざいせいせいさく【財政政策】
ざいせいとうし【財政投資】
ざいせいとうゆうしけいかく【財政投融資計画】
ざいせいなん【財政難】
ざいせいねんど【財政年度】
ざいせいひっぱく【財政逼迫ひっぱく】
ざいせいほう【財政法】
ざいせいほうこく【財政報告】
ざいせいインフレ【財政インフレ】
ざいせきしゃ【在籍者】
ざいせきしょうめいしょ【在籍証明書】
ざいせきせんじゅうしゃ【在籍専従者】
ざいたくいりょう【在宅医療】
ざいたくいりょうほけん【在宅医療保険】
ざいたくかいご【在宅介護】
ざいたくきんむ【在宅勤務】
ざいたくきんむしゃ【在宅勤務者】
ざいたくび【在宅日】
ざいたくろうじんたんきほごじぎょう【在宅老人短期保護事業】
ざいだんほうじん【財団法人】
ざいばつかいたい【財閥解体】
ざいべいほうじん【在米邦人】
ざいむいいんかい【財務委員会】
ざいむかん【財務官】
ざいむかんり【財務管理】
ざいむきょく【財務局】
ざいむこもん【財務顧問】
ざいむしょう【財務省】
ざいむしょひょう【財務諸表】
ざいむだいじん【財務大臣】
ざいむちょうかん【財務長官】
ざいむちょうさかん【財務調査官】
ざいむぶ【財務部】
ざいむほうこくしょ【財務報告書】
ざいむほしょう【財務保証】
ざいもくおきば【材木置き場】
ざいもくしょう【材木商［屋］】
ざいらいしゅ【在来種】
ざいらいせん【在来線】
ざいりゅうがいこくじん【在留外国人】
ざいりゅうほうじん【在留邦人】
ざいりゅうみん【在留民】
ざいりょうかぶ【材料株】
ざいりょうしけん【材料試験】
ざいりょうひ【材料費】
ざいりょうりきがく【材料力学】
ざくろいし【ざくろ石】
ざこつしんけい【座骨神経】
ざこつしんけいつう【座骨神経痛】
ざしきろう【座敷牢ろう】
ざせきしていけん【座席指定券】
ざせきちょうせつようレバー【座席調節用レバー】
ざせきばんごう【座席番号】
ざせきひょう【座席表】
ざせきりようりつ【座席利用率】
ざせつかん【挫折感】
ざだんかい【座談会】
ざっかうりば【雑貨売り場】
ざっかや【雑貨屋】
ざっかんきじ【雑感記事】
ざっきちょう【雑記帳】
ざっきょかんぼう【雑居監房】
ざっきょビル【雑居ビル】
ざっしきしゃ【雑誌記者】
ざっしこうこく【雑誌広告】
ざっそんこうじょ【雑損控除】
ざっぽうらん【雑報欄】
ざつぶんか【雑文家】
ざとうくじら【座頭鯨】
ざひょうじく【座標軸】
ざらめゆき【粗目雪】
ざるご【笊碁】
ざるほう【笊法】
ざをもつ【座を（取り）持つ】
ざんぎょうてあて【残業手当】
ざんげしつ【懺悔室】
ざんげそう【懺悔僧】
ざんげんしゃ【讒言者】
ざんこくもの【残酷もの】
ざんごうせん【塹壕戦】
ざんさつしたい【惨殺死体】
ざんさつしゃ【惨殺者】
ざんしたい【惨死体】
ざんだかかんじょう【残高勘定】
ざんだかしょうめいしょ【残高証明書】
ざんだかひょう【残高表】
ざんていきょうてい【暫定協定】
ざんていせいけん【暫定政権】
ざんていせいふ【暫定政府】
ざんていよさん【暫定予算】
ざんにんせい【残忍性】
ざんねんしょう【残念賞】
ざんよがく【残余額】
ざんりゅうこじ【残留孤児】
ざんりゅうのうやく【残留農薬】
ざんりゅうぶたい【残留部隊】
ざんりゅうぶつ【残留物】
ざゆうのめい【座右の銘】
ざいがいの【在外の】
ざいがくする【在学する】
ざいせいの【財政の】
ざいせきする【在席する】
ざいりゅうする【在留する】
ざせつする【挫折する】
ざせつする【挫折する】
ざっきょする【雑居する】
ざっしゅの【雑種の】
ざったな【雑多な】
ざっぱくな【雑駁な】
ざつきの【座付きの】
ざつだんする【雑談する】
ざんぎょうする【残業する】
ざんげする【懺悔する】
ざんげんする【讒言する】
ざんげんの【讒言の】
ざんこくな【残酷な（に）】
ざんさつする【惨殺する】
ざんしゅする【斬首する】
ざんしんさ【斬新さ】
ざんていてきな【暫定的な】
ざんにんな【残忍な】
ざんねんがる【残念がる】
ざんねんな【残念な】
ざんりゅうする【残留する】
ザイールの
