「しゅんせつ」のおおがたれんきゅう【(旧正月に当たる)「春節」の大型連休】
しかくのしゅとく【資格(認定)の取得】
しかくのそうしつ【資格(認定)の喪失】
しかくばる【四角張る】
しかくをえる【(…の)資格を得る[取得する]】
しかくをみたす【(…の)資格を満たす】
しかけ【仕掛け】
しかける【仕掛ける】
しかけんしん【歯科検診】
しかざん【死火山】
しかし【然し併し】
しかしっかん【歯科疾患】
しかしながら【然しながら】
しかしゅう【詞華集】
しかじか
しかず【如かず】
しかた【仕方】
しかたがない【仕方がない】
しかつ【死活】
しかつめらしい
しかでのいんないかんせん【歯科での院内感染】
しかと【確と】
しかとする
しかねない【し兼ねない】
しかねる【し兼ねる】
しかのいりょうきき【歯科の医療機器】
しかのかんじゃ【歯科の患者】
しかのかんせんぼうし【歯科の感染防止】
しかのめっきんしょち【歯科の減菌処置】
しかばね【屍】
しかばん【私家版】
しかめつら【顰め面】
しかめる【顰める】
しかも【然も而も】
しからしめる【然らしめる】
しからずんば【然らずんば】
しからば【然らば】
しかり【叱り】
しかり【然り】
しかりつける【叱り付ける】
しかりとばす【叱りとばす】
しかる【叱る】
しかるに【然るに】
しかるべき【然る可き】
しかるべく【然る可く】
しかん【仕官】
しかん【史観】
しかん【士官】
しかん【子癇】
しかん【弛緩】
しかん【歯冠】
しかん【私感】
しが【歯牙】
しがい【市外】
しがい【市街】
しがい【死骸屍骸】
しがいせん【紫外線】
しがいちず【(…の)市街地図】
しがいちふっこうのとくれいそち【市街地復興の特例措置】
しがいでんわ【市外電話】
しがかんりするこうえん【市が管理する公園】
しがく【史学】
しがく【歯学】
しがく【私学】
しがく【詩学】
しがつ【四月】
しがつすえからごがつはじめのおおがたれんきゅう【４月末から５月初めの大型連休】
しがつにぶっかがげらくした【4月に物価が下落した】
しがない
しがみつく
しがらみ【柵】
しがん【志願】
しき【四季】
しき【士気】
しき【式】
しき【指揮】
しき【指揮】
しき【死期】
しき【紙器】
しきい【敷居】
しきいき【識域】
しきいし【敷石】
しきいた【敷き板】
しきいちこうか【閾値[しきいち]効果】
しきうつし【敷き写し】
しきかく【色覚】
しきかん【色感】
しきかんとく【指揮監督】
しきがわ【敷き皮敷き革】
しききん【敷金】
しきぎょう【私企業】
しきぎょう【私企業】
しきけいとう【指揮(命令)系統】
しきさい【色彩】
しきし【色紙[しきし]】
しきし【色紙】
しきしゃ【識者】
しきしん【色神】
しきじゃく【色弱】
しきじょう【色情】
しきじりつ【識字率】
しきする【(オーケストラを)指揮する】
しきそ【色素】
しきそう【色相】
しきそくぜくう【色即是空】
しきたり【仕来たり為来たり】
しきだい【式台】
しきち【敷地】
しきちょう【色調】
しきつめる【敷き詰める】
しきふ【敷布】
しきふく【式服】
しきふく【式服】
しきぶとん【敷き布団】
しきべつ【識別】
しきま【色魔】
しきもう【色盲】
しきもの【敷物】
しきゅう【四球】
しきゅう【子宮】
しきゅう【支給】
しきゅう【支給】
しきゅう【死球】
しきゅう【至急】
しきゅうけいがん【子宮頸がん】
しきゅうけいがん【子宮頸がん】
しきゅうけいがんよぼうわくちん【子宮頸がん予防ワクチン】
しきゅうけいがんわくちん【子宮頸がんワクチン】
しきゅうけいがんわくちんのふくさよう【子宮頸がんワクチンの副作用】
しきゅうけいがんをはっけんする【子宮頸がんを発見する】
しきゅうされるてあて【(…に)支給される手当】
しきゅうしき【始球式】
しきゅうでんぽう【至急電報】
しきゅうようけん【支給要件】
しきょ【死去】
しきょう【司教】
しきょう【市況】
しきょう【試供】
しきょう【詩興】
しきょく【支局】
しきよく【色欲】
しきり【仕切り】
しきりに【頻りに】
しきる【仕切る】
しきわら【敷き藁】
しきん【至近】
しきん【資金】
しきんいどう【資金移動】
しきんうんよう【資金運用】
しきんせき【試金石】
しきんちょうたつにあくえいきょうをおよぼす【資金調達に悪影響を及ぼす】
しきんのじつようじっせき【資金の運用実績】
しきんのちょうたつこすと【資金の調達コスト】
しきんはいぶん【(公正な)資金配分】
しきんめんではんでぃをおうじぎょう【資金面でハンディを負う事業】
しきんをきぎょうからえる【資金を企業から得る】
しきんをきふきんでまかなう【資金を寄付金で賄う】
しきんをきょうきゅうする【資金を供給する】
しぎ【仕儀】
しぎ【鴫】
しぎかい【市議会】
しぎかい【市議会】
しぎかいのうんえい【市議会の運営】
しぎょう【始業】
しぎん【詩吟】
しく【市区】
しく【敷く】
しく【若く如く】
しく【詩句】
しくしく
しくじり
しくじる
しくつ【試掘】
しくはっく【四苦八苦】
しくみ【仕組み】
しくみ【仕組み】
しくみのこうちく【仕組みの構築】
しくみをじゅんびする【仕組みを準備する】
しくみをつくる【(…の)仕組みをつくる】
しくむ【仕組む】
しぐさ【仕草仕種】
しぐれ【時雨】
しぐれる【時雨れる】
しけ【時化】
しけい【死刑】
しけい【私刑】
しけい【紙型】
しけい【詩形詩型】
しけいかむきちょうえきのはんけつをいいわたされる【死刑か無期懲役の判決を言い渡される】
しけいとむきけいとのらくさ【死刑と無期刑との落差】
しけいについてどうお考えですか【死刑についてどうお考えですか】
しけこむ【しけ込む】
しけつ【止血】
しける【時化る】
しける【湿気る】
しけん【私権】
しけん【私見】
しけん【試験】
しけん【試験】
しけんうんてんのさいかい【試験運転の再開】
しけんかいじょう【試験会場】
しけんかもく【試験[受験]科目】
しけんかんそく【試験観測】
しけんかんとく【試験監督(者)】
しけんじかんをえんちょうする【試験時間を延長する】
しけんじむ【試験事務】
しけんじむ【試験事務】
しけんだい【試験台】
しけんてきなせいど【試験的な制度】
しけんでななわりいじょうのとくてんをとる【試験で７割以上の得点を取る】
しけんないよう【試験内容】
しけんにあたらしいかもくをくわえる【試験に新しい科目を加える】
しけんにおちる【試験に落ちる】
しけんにごうかくする【試験に合格する[受かる]】
しけんはっしゃによるいかく【試験発射による威嚇】
しけんひこう【試験飛行】
しけんもんだい【(憲法に関する)試験問題】
しけんもんだい【試験問題】
しけんをみなおす【試験(内容)を見直す】
しげい【至芸】
しげき【刺激】
しげき【刺激刺戟】
しげき【史劇】
しげき【詩劇】
しげきさく【(消費)刺激策】
しげきてきえいぞう【刺激的映像】
しげきにかびんである【刺激に過敏である】
しげきのきぼ【刺激の規模】
しげきぶつ【刺激物[剤]】
しげしげ【繁繁】
しげみ【茂み繁み】
しげる【茂る繁る】
しげん【至言】
しげん【資源】
しげんかいはつとうし【資源開発投資】
しげんかんり【資産管理】
しげんがとぼしいくにぐにのはってん【資源が乏しい国々の発展】
しげんさんぎょう【資源産業】
しげんぶそく【資源不足】
しげんほご【資源保護】
しげんをばいしゅうする【資源を買収する】
しこ【四股】
しこう【伺候】
しこう【嗜好】
しこう【志向】
しこう【思考】
しこう【指向】
しこう【施工】
しこう【施行】
しこう【施行】
しこう【歯垢】
しこう【私行】
しこう【至高】
しこうさくご【試行錯誤】
しこしこ
しこたま
しこな【醜名四股名】
しこみ【仕込み】
しこむ【仕込む】
しこり【痼り凝り】
しこん【歯根】
しこん【私恨】
しこん【紫紺】
しご【死後】
しご【死語】
しご【私語】
しご【詩語】
しごき【扱き】
しごく【扱く】
しごく【至極】
しごせん【子午線】
しごと【仕事】
しごと【仕事】
しごとからきたくする【仕事から帰宅する】
しごとがらで【仕事柄で】
しごとがらみのかいしょく【仕事がらみの会食】
しごととせいかつのちょうわ【仕事と生活の調和】
しごとにおうぼする【仕事[職]に応募する】
しごとにんげん【仕事人間】
しごとねっしんなひと【仕事熱心な人】
しごとのじっせき【仕事の実績】
しごとへのあいちゃく【仕事への愛着】
しごとりょうがおおくていきぎれする【仕事量が多くて息切れする】
しごとをいたくする【仕事を(民間に)委託する】
しごとをしていないじょせい【仕事をしていない女性】
しごとをしているじょせい【仕事をしている女性】
しごのけっこん【死後の結婚】
しさ【示唆】
しさ【示唆】
しさ【視差】
しさい【司祭】
しさい【子細仔細】
しさい【詩才】
しさく【思索】
しさく【施策】
しさく【試作】
しさく【詩作】
しさするはつげん【(…を)示唆する発言】
しさつ【刺殺】
しさつ【視察】
しさてきなことば【示唆的な言葉】
しさん【四散】
しさん【試算】
しさん【資産】
しさん【資産】
しさんうんよう【資産運用】
しさんうんようひりつ【(…の)資産運用比率】
しさんかのむれ【資産家の群れ】
しさんかんりがいしゃ【資産管理会社】
しさんとうけつ【資産凍結】
しさんのばいきゃく【資産の売却】
しさんばいきゃく【資産売却】
しさんへのかぜい【資産への課税】
しさんをうつす【資産を移す】
しさんをおおくもつひと【資産を多く持つ人】
しさんをかくす【資産を隠す】
しざい【死罪】
しざい【私財】
しざい【資材】
しざん【死産】
しし【史詩】
しし【嗣子】
しし【四肢】
しし【志士】
しし【死屍】
しし【獅子】
ししき【司式】
ししそんそん【子子孫孫】
ししつ【私室】
ししつ【紙質】
ししつ【資質】
ししとう【獅子唐】
ししばな【獅子鼻】
ししゃ【使者】
ししゃ【支社】
ししゃ【死者】
ししゃ【試写】
ししゃ【試射】
ししゃがわれらをいましめる【死者が我らを戒める】
ししゃく【子爵】
ししゃごにゅう【四捨五入】
ししゃのいれいとして【死者の慰霊として】
ししゃも【柳葉魚】
ししゃをいれいする【死者を慰霊する】
ししゅ【死守】
ししゅ【詩趣】
ししゅう【刺繍】
ししゅう【死臭屍臭】
ししゅう【詩集】
ししゅうびょう【歯周病】
ししゅく【私淑】
ししゅつ【支出】
ししゅつ【支出】
ししゅつこうもく【支出項目】
ししゅつそうがく【(国の)支出総額】
ししゅつのかっと【支出のカット】
ししゅつのぞうか【支出の増加】
ししゅつをかくだいする【支出を拡大する】
ししゅつをきりつめる【支出を切りつめる】
ししゅんき【思春期】
ししょ【史書】
ししょ【司書】
ししょ【四書】
ししょ【支所】
ししょ【死所死処】
ししょ【私書】
ししょう【師匠】
ししょう【支障】
ししょう【支障】
ししょう【死傷】
ししょう【私娼】
ししょうせつ【私小説】
ししょく【試食】
ししょばこ【私書箱】
ししん【指針】
ししん【私信】
ししん【私心】
ししん【詩心】
ししん【詩神】
ししんけい【視神経】
しじ【師事】
しじ【指示】
しじ【支持】
しじ【死児】
しじ【私事】
しじしゃたちのりはん【支持者たちの離反】
しじつ【史実】
しじま
しじみ【蜆】
しじゅう【四十】
しじゅう【四重】
しじゅう【始終】
しじゅうかた【四十肩】
しじゅうから【四十雀】
しじゅうくにち【四十九日】
しじゅうはって【四十八手】
しじゅく【私塾】
しじゅほうしょう【紫綬褒章】
しじゅんせつ【四旬節】
しじょ【子女】
しじょう【史上】
しじょう【市場】
しじょう【私情】
しじょう【紙上】
しじょう【至上】
しじょう【至情】
しじょう【試乗】
しじょう【詩情】
しじょう【誌上】
しじょうかいにゅう【(政府による)市場介入】
しじょうがきゅうそくにしぼんだ【市場が急速にしぼんだ】
しじょうさいあく【史上最悪】
しじょうさいあくのきき【史上最悪の危機】
しじょうさいこうきろく【史上最高記録】
しじょうさいこうのうりょう【史上最高の雨量】
しじょうしはいりょくのらんよう【市場支配力の乱用】
しじょうちょうさ【市場調査】
しじょうとりひき【市場取引】
しじょうどうこう【市場動向】
しじょうにかいにゅうする【(株式)市場に介入する】
しじょうのうごき【市場の動き】
しじょうのうごきしだいで【市場の動き次第で】
しじょうのおもわく【市場の思惑】
しじょうのしっぱい【市場の失敗】
しじょうのとうめいせい【市場の透明性】
しじょうのふあんをふっしょくする【市場の不安を払拭する】
しじょうへのさんにゅうをそくしんする【市場への参入を促進する】
しじょうをあんしんさせる【市場を安心させる】
しじょうをいしゅくさせる【市場を萎縮させる】
しじょうをこんらんさせる【市場を混乱させる】
しじりつをあげるおもわく【支持率を上げる思惑】
しじん【私人】
しじん【詩人】
しすう【指数】
しすう【紙数】
しすぎる【し過ぎる】
しすてむのほしゅうをたんとうしている【システムの補修を担当している】
しすてむをあっぷぐれーどする【システム[コンピューター]をアップグレードする】
しすてむをかいりょうする【(現行の)システムを改良そる】
しする【資する】
しずい【歯髄】
しずか【静か】
しずく【滴】
しずけさ【静けさ】
しずしず【静静】
しずまりかえる【静まり返る】
しずまる【静まる鎮まる】
しずむ【沈む】
しずめる【沈める】
しずめる【静める鎮める】
しせい【四声】
しせい【四聖】
しせい【姿勢】
しせい【姿勢】
しせい【市井】
しせい【市制】
しせい【市勢】
しせい【市政】
しせい【施政】
しせい【死生】
しせい【私製】
しせい【至誠】
しせい【詩聖】
しせいかつ【私生活】
しせいじ【私生児】
しせいだい【始生代】
しせいのひょうめい【姿勢の表明】
しせいのへんか【姿勢の変化[転換]】
しせき【史跡史蹟】
しせき【歯石】
しせつ【使節】
しせつ【施設】
しせつ【施設】
しせつ【私設】
しせつうんえいへのじゅうみんさんか【施設運営への住民参加】
しせつかいご【施設介護】
しせつのかいせつしゃ【施設の開設者】
しせつのかつよう【施設の(有効)活用[利用]】
しせつのじょうきょう【施設の状況】
しせつのつうろには【施設の通路には】
しせつぶそく【施設不足】
しせつへのぼうがい【(自衛隊)施設への妨害】
しせつりようきょかしんせい【施設利用許可申請】
しせつをつくる【施設をつくる】
しせん【しせん(四川)】
しせん【支線】
しせん【死線】
しせん【視線】
しせん【視線】
しせん【詩仙】
しせん【詩選】
しせんのさき【視線の先[真意]】
しせんよび【私戦予備】
しせんをそそぐ【視線を注ぐ】
しぜん【自然】
しぜんいさん【自然遺産】
しぜんえねるぎー【自然エネルギー】
しぜんえねるぎーちょう【(経済産業省)自然エネルギー庁】
しぜんえねるぎーのひりつ【自然エネルギーの比率】
しぜんきょうせいしゃかい【自然共生社会】
しぜんさいがいのようなわざわい【自然災害のような災い】
しぜんしほんかいけい【自然資本会計】
しぜんねんしょう【自然燃焼】
しぜんのいとなみ【自然の営み】
しぜんのいとなみをかえる【自然の営みを変える】
しぜんのうつくしさ【自然の美しさ】
しぜんのきょうい【自然の驚異】
しぜんのままのさんごしょう【自然のままのサンゴ礁】
しぜんへのいけい【自然への(深い)畏敬】
しぜんめんえき【自然免疫】
しぜんらっか【自然[自由]落下】
しぜんりょうほう【自然療法】
しぜんをあいてにはたらく【自然を相手に働く】
しそ【始祖】
しそ【紫蘇】
しそう【志操】
しそう【思想】
しそう【死相】
しそう【詩想】
しそうのうろう【歯槽膿漏】
しそうのおんけん【思想の穏健さ】
しそうゆうどう【思想誘導】
しそく【四則】
しそく【子息】
しそこなう【為損なう】
しそちょう【始祖鳥】
しそん【子孫】
しぞう【死蔵】
しぞう【私蔵】
しぞく【士族】
しぞく【氏族】
した【下】
した【舌】
したあご【下顎】
したあじ【下味】
したあらい【下洗い】
したい【姿態】
したい【死体】
したい【肢体】
したいいきようぎ【死体遺棄容疑】
したいしょり【死体処理】
したいほうだい【したい放題】
したいぼうふしょり【死体防腐処理】
したいをいきする【死体を遺棄する】
したう【慕う】
したうけ【下請け】
したうけがいしゃ【下請け会社】
したうけぎょうしゃ【下請け業者】
したうけぎょうしゃへのいたく【下請け業者への委託】
したうち【舌打ち】
したうちあわせ【下打ち合わせ】
したえ【下絵】
したおし【下押し】
したおしあつりょく【(地価の)下押し圧力】
したおび【下帯】
したがう【従う随う】
したがえる【従える】
したがき【下書き】
したがって【従って】
したがり【下刈り】
したがれい【舌鰈】
したぎ【下着】
したく【支度仕度】
したく【私宅】
したくさ【下草】
したけんぶん【下検分】
したげいこ【下稽古】
したごころ【下心】
したごしらえ【下拵え】
したさき【舌先】
したざわり【舌触り】
したしい【親しい】
したしいあいだがら【親しい間柄】
したしいあいだがらである【親しい間柄である】
したしいともだち【親しい友達】
したしく【親しく】
したしごと【下仕事】
したしみ【親しみ】
したしむ【親しむ】
したしらべ【下調べ】
したじ【下地】
したじき【下敷き】
したじゅんび【下準備】
したそうだん【下相談】
したたか【強か】
したためる【認める】
したたらず【舌足らず】
したたり【滴り】
したたる【滴る】
したっぱ【下っ端】
したつづみ【舌鼓】
したづみ【下積み】
したて【下手】
したて【仕立て】
したてあげる【仕立て上げる】
したてる【仕立てる】
したどり【下取り】
したなめずり【舌なめずり】
したぬり【下塗り】
したね【下値】
したばえ【下生え】
したばき【下履き】
したばき【下穿き】
したばたらき【下働き】
したばら【下腹】
したび【下火】
したびらめ【舌平目舌鮃】
したまち【下町】
したまわる【下回る下廻る】
したみ【下見】
したむき【下向き】
しため【下目】
したやく【下役】
したやく【下訳】
したよみ【下読み】
したりがお【したり顔】
したわしい【慕わしい】
したん【紫檀】
しだ【羊歯】
しだい【次第】
しだいに【次第に】
しだし【仕出し】
しだれ【枝垂れ】
しだれる【枝垂れる】
しだん【師団】
しだん【指弾】
しだん【詩壇】
しち【七】
しち【死地】
しち【質】
しちいれ【質入れ】
しちかいき【七回忌】
しちがつ【七月】
しちぐさ【質草】
しちけん【質権】
しちごさん【七五三】
しちごちょう【七五調】
しちさん【七三】
しちしょう【七生】
しちじゅう【七十】
しちてんばっとう【七転八倒】
しちながれ【質流れ】
しちなん【七難】
しちふくじん【七福神】
しちぶ【七分】
しちみとうがらし【七味唐辛子】
しちめんちょう【七面鳥】
しちめんどう【七面倒】
しちゃく【試着】
しちや【質屋】
しちゅう【市中】
しちゅう【支柱】
しちゅう【死中】
しちょう【市長】
しちょう【市長】
しちょう【思潮】
しちょう【視聴】
しちょう【試聴】
しちょう【輜重】
しちょうかく【視聴覚】
しちょうかくきょうざい【視聴覚教材】
しちょうがていしゅつしたじょうれいあん【市長が提出した条例案】
しちょうしゃのしんらいをそこなうばんぐみ【視聴者の信頼を損なう番組】
しちょうせん【市長選】
しちょうそん【市町村】
しちょうそんじょうれいでさだめるがく【市町村条例で定める額】
しちょうにとどまる【市長に留まる】
しちょうのいほうこうい【市長の違法行為】
しちょうのていあん【市長の提案】
しちょうのにんきまんりょう【市長の任期満了】
しちょうのようせいをうけいれて【市長の要請を受け入れて】
しちょうは【市長派(の人びと)】
しちょうをしじするしみんぐるーぷ【市長を支援する市民グループ】
しちょく【司直】
しちりん【七輪】
しっ
しっか【失火】
しっかく【失格】
しっかく【失格】
しっかくする【失格する】
しっかり【確り】
しっかりしたあおじゃしん【しっかりした青写真】
しっかん【疾患】
しっかん【質感】
しっき【漆器】
しっきゃく【失脚】
しっきん【失禁】
しっくい【漆喰】
しっくり
しっけ【湿気】
しっけい【失敬】
しっけん【執権】
しっけん【失権】
しっこう【執行】
しっこう【失効】
しっこうきかん【執行機関】
しっこうきかん【執行機関】
しっこうやくいん【執行役員】
しっこうゆうよ【執行猶予】
しっこく【桎梏】
しっこく【漆黒】
しっさく【失策】
しっしき【湿式】
しっしっ
しっしょう【失笑】
しっしん【失神失心】
しっしん【湿疹】
しっする【失する】
しっせい【叱正】
しっせい【執政】
しっせい【失政】
しっせいしょくぶつ【湿生植物】
しっせき【叱責】
しっそ【質素】
しっそう【失踪】
しっそう【疾走】
しっそく【失速】
しっそなそうしき【質素な葬式】
しった【叱咤】
しったい【失態】
しったかぶり【知ったかぶり】
しったげきれい【叱咤激励】
しったつり【執達吏】
しっち【失地】
しっち【湿地】
しっちゃく【失着】
しっつい【失墜】
しってん【失点】
しっと【嫉妬】
しっとう【執刀】
しっとう【失投】
しっとり
しっぱい【失敗】
しっぱい【失敗】
しっぱいがく【失敗学】
しっぱいにおわる【失敗に終わる[水泡に帰す]】
しっぱいのげんいん【失敗の原因】
しっぱいのげんいん【失敗の原因】
しっぱいのちょうこう【失敗の兆候】
しっぱいはせいこうのもと【失敗は成功の元[基]】
しっぱいれい【失敗例】
しっぱいをきょうくんにする【失敗を教訓にする】
しっぱいをくりかえす【失敗を繰り返す】
しっぴ【失費】
しっぴつ【執筆】
しっぷ【湿布】
しっぷう【疾風】
しっぺい【竹蓖】
しっぽ【尻尾】
しっぽうやき【七宝焼き】
しっぽり
しつ【室】
しつ【質】
しつい【失意】
しつう【歯痛】
しつうはったつ【四通八達】
しつおん【室温】
しつかんせつ【膝関節】
しつがい【室外】
しつがいこつ【膝蓋骨】
しつぎ【質疑】
しつぎ【質疑】
しつぎおうとう【質疑応答】
しつぎじかん【質疑時間】
しつぎにおうじる【質疑に応じる】
しつぎょう【失業】
しつぎょうてあてをもらう【失業手当をもらう】
しつぎょうほけん【失業保険】
しつぎょうりつのじょうしょう【失業率の上昇】
しつぎをつうじて【質疑を通じて】
しつくす【し尽す】
しつけ【仕付け】
しつけ【躾】
しつける【仕付ける】
しつける【躾る】
しつげん【失言】
しつげん【湿原】
しつこい
しつごしょう【失語症】
しつじ【執事】
しつじつごうけん【質実剛健】
しつじゅん【湿潤】
しつちょう【室長】
しつてき【質的】
しつてきかんわさく【質的(金融)緩和策】
しつど【湿度】
しつどくしょう【失読症】
しつない【室内】
しつねん【失念】
しつのかいぜん【(サービスの)質の改善】
しつぼう【失望】
しつぼく【質朴】
しつむ【執務】
しつめい【失明】
しつもん【質問】
しつもん【質問】
しつもんがとんだ【質問が飛んだ】
しつもんじこう【質問事項】
しつもんにこたえて【質問に答えて】
しつもんにこたえる【質問に答える】
しつもんにこたえる【質問に答える】
しつもんにたいしてまともなとうべんをする【質問に対してまともな答弁をする】
しつもんのしかた【質問の仕方】
しつもんをする【質問をする】
しつもんをだす【(…に)質問を出す[する]】
しつよう【執拗】
しつらえる【設える】
しつりょう【室料】
しつりょう【質量】
しつれい【失礼】
しつれいなへんじ【失礼な返事】
しつれん【失恋】
して【仕手】
してい【子弟】
してい【師弟】
してい【指定】
してい【指定】
してい【私邸】
していかんりしゃせいど【指定管理者制度】
していしけんじっしきかん【指定試験実施機関】
していでんせんびょう【指定伝染病】
していほうじん【指定法人】
していぼうりょくだん【指定暴力団】
していやくぶつ【指定薬物《薬事法》】
していやくぶつ【指定薬物】
していやくぶつをふくむだっぽうどらっく【指定薬物を含む脱法ドラッグ】
していをとりけす【指定を取り消す】
してき【史的】
してき【指摘】
してき【私的】
してき【詩的】
してつ【私鉄】
してみると【して見ると】
してやられる
してやる【為て遣る】
してん【支店】
してん【支点】
してん【視点】
してん【視点】
してんのう【四天王】
してんをそんちょうする【視点を尊重する】
しで【垂四手】
しでかす【仕出かす】
しでのたびじ【死出の旅路】
しでん【史伝】
しでん【市電】
しと【使徒】
しと【使途】
しとう【死闘】
しとう【私闘】
しとう【至当】
しとげる【為遂げる】
しとしと
しととなりあわせのひびをおくる【死と隣り合わせの日々を送る】
しとど
しとめる【仕留める】
しとやか【淑やか】
しど【示度】
しど【視度】
しどう【始動】
しどう【市道】
しどう【指導】
しどう【指導】
しどう【斯道】
しどう【私道】
しどうかいぜんけんしゅう【指導改善研修】
しどうきょういん【指導教員】
しどうしゃとしてらくだい【指導者として落第】
しどうしゃのけいけん【指導者(として)の経験】
しどうしゃのしめい【指導者の使命】
しどうしゃのしゃしん【指導者の写真】
しどうしゃのしんぞく【指導者の親族】
しどうてきちい【指導的地位】
しどうてきちいをしめる【指導的地位を占める】
しどうてきなやくわりをはたす【指導的な役割を果たす】
しどうにやくだつ【指導に役立つ】
しどうぶ【(中国)指導部[体制]】
しどうぶのこうたい【指導部[陣]の交代[移行]】
しどうぼたん【始動ボタン】
しどうりょくぶそく【指導力不足】
しどく【死毒】
しどけない
しどころ【為所】
しどろもどろ
しな【品】
しな【科】
しない【市内】
しない【竹刀】
しないでんわ【市内電話】
しなう【撓う】
しなうす【品薄】
しなおす【し直す】
しなかず【品数】
しながき【品書き】
しなぎれ【品切れ】
しなさだめ【品定め】
しなじな【品品】
しなす【死なす】
しなだれる
しなちく【支那竹】
しなびる【萎びる】
しなもの【品物】
しなもののうけわたし【品物の受け渡し】
しなやか【撓やか】
しなやかなにくたい【しなやかな肉体】
しなりおがげんじつになった【シナリオが現実になった】
しなりおをかく【シナリオを描く】
しなりおをそうていする【シナリオを想定する】
しなん【指南】
しなん【至難】
しにいそぐ【死に急ぐ】
しにおくれる【死に後れる】
しにがお【死に顔】
しにがね【死に金】
しにがみ【死に神】
しにぎわ【死に際】
しにく【歯肉】
しにく【死肉屍肉】
しにげしょう【死に化粧】
しにざま【死に様】
しにしょうぞく【死に装束】
しにせ【老舗】
しにせのかんばんにあんじゅうする【老舗の看板に安住する】
しにせのかんばんにあんじゅうする【老舗の看板に安住する】
しにそこない【死に損ない】
しにそこなう【死に損なう】
しにたい【死に体】
しにたいするいけい【死に対する畏敬】
しにたえる【死に絶える】
しにどき【死に時】
