ぐ【具】
ぐんじこもん【軍事顧問】
ぐんじこもん【軍事顧問】
ぐんじこもんだん【軍事顧問団】
ぐんじしえん【軍事支援】
ぐんじしせつ【軍事施設】
ぐんじしょうとつ【軍事衝突】
ぐんじしんぱんじょ【軍事審判所】
ぐんじじょうせい【軍事情勢】
ぐんじじょうほう【軍事情報】
ぐんじすぱい【軍事スパイ】
ぐんじせいけん【軍事政権】
ぐんじせいけん【軍事政権】
ぐんじせいさく【軍事政策】
ぐんじせんもんか【軍事専門家】
ぐんじせんりゃく【軍事戦略】
ぐんじせんりょう【軍事占領】
ぐんじぞうきょう【軍事[軍備](の)増強】
ぐんじたいこく【軍事大国】
ぐんじたいとう【(その国の)軍事台頭】
ぐんじちょうはつ【軍事(的)挑発】
ぐんじつうしんえいせい【軍事通信衛星】
ぐんじてきえいきょうりょく【軍事的影響力[プレゼンス]】
ぐんじてきかんよ【軍事的関与】
ぐんじてきかんよ【軍事的関与】
ぐんじてききんちょう【軍事的緊張】
ぐんじてききんちょう【軍事的緊張】
ぐんじてきしゅだん【軍事的手段】
ぐんじてきしゅだんにうったえる【軍事的手段に訴える[頼る]】
ぐんじてきたいこうそち【軍事的対抗措置】
ぐんじてきたいとう【軍事的台頭】
ぐんじてきなちょうはつ【軍事的な挑発】
ぐんじてきなちょうはつをおこなう【軍事的な挑発を行なう】
ぐんじてきなふあんてい【軍事的な不安定(さ)】
ぐんじてきなやくわり【軍事的な役割】
ぐんじてきひつようせい【軍事的必要性】
ぐんじてきやくわり【(その国の)軍事的役割】
ぐんじてきようせい【軍事的要請】
ぐんじどうこう【軍事動向】
ぐんじのとうめいせい【軍事の透明性】
ぐんじばらんす【軍事バランス】
ぐんじぱれーど【軍事パレード】
ぐんじひ【軍事費】
ぐんじひょうろんか【軍事評論家】
ぐんじふんそう【軍事紛争】
ぐんじふんそう【軍事紛争】
ぐんじぶっし【軍事物資】
ぐんじぶんや【軍事分野】
ぐんじほうふく【軍事報復】
ぐんじもくてき【軍事目的】
ぐんじもくてきで【軍事目的で】
ぐんじもんだい【軍事問題】
ぐんじゅ【軍需】
ぐんじゆうせん【軍事優先(政策)】
ぐんじょう【群青】
ぐんじりょく【軍事力】
ぐんじりよう【(…の)軍事利用】
ぐんじん【軍人】
ぐんじん【軍陣】
ぐんすい【軍帥】
ぐんせい【群星】
ぐんせい【群棲】
ぐんせい【群生】
ぐんせい【軍制】
ぐんせい【軍政】
ぐんせいじだい【軍政時代(に)】
ぐんせき【軍籍】
ぐんぜい【軍勢】
ぐんそう【軍曹】
ぐんそう【軍葬】
ぐんそう【軍装】
ぐんぞう【群像】
ぐんぞく【軍属】
ぐんたい【群体】
ぐんたい【軍隊】
ぐんたいのきりつ【軍隊の規律】
ぐんだん【軍団】
ぐんて【軍手】
ぐんと
ぐんとう【群島】
ぐんとう【軍刀】
ぐんなり
ぐんにゃり
ぐんによるこうげき【軍による攻撃】
ぐんのかいきゅう【軍の階級】
ぐんば【軍馬】
ぐんばい【軍配】
ぐんばつ【軍閥】
ぐんぱつ【群発】
ぐんび【軍備】
ぐんびしゅくしょう【軍備縮小】
ぐんぴ【軍費】
ぐんぴょう【軍票】
ぐんぶ【群舞】
ぐんぶ【軍部】
ぐんぷく【軍服】
ぐんへのいぞん【軍への依存】
ぐんぼう【軍帽】
ぐんぽう【軍法】
ぐんむ【軍務】
ぐんもん【軍門】
ぐんゆう【群雄】
ぐんよう【軍用】
ぐんらく【群落】
ぐんりつ【軍律】
ぐんりゃく【軍略】
ぐんれい【軍令】
ぐー
ぐーぐー
ぐーすか
ぐーん
クスン，グスン
グアダラハラ
グアテマラ
グアテマラシティ
グアドループとう【グアドループ島】
グアム
グイ
グウィネズしゅう【グウィネズ州】
グウェントしゅう【グウェント州】
グエッ
グォーッ
ググる
グサッ
グシャッ
グジャラートしゅう【グジャラート州】
グスグス
グダニスク
グチャグチャ
グチャッ
グッ
グッズ
グッドデザインマーク
グッピー
グツグツ
グビッ
グライダー
グラインダー
グラウンド
グラグラ
グラジオラス
グラス
グラスコート
グラスゴー
グラスノスチ
グラスファイバー
グラタン
グラナダ
グラニューとう【グラニュー糖】
グラビア
グラフ
グラフィック
グラフィックデザイン
グラフィティー
グラマー
グラマー
グラミーしょう【グラミー賞】
グラム
グラモーガン【グラモーガン(シャー)】
グランクラス
グランジ
グランドオペラ
グランドキャニオン
グランドスラム
グランドピアノ
グランピアン
グランプリ
グラース
グラーツ
グリコーゲン
グリシン
グリセリン
グリセード
グリッド
グリップ
グリニッジ
グリムどうわ【グリム童話】
グリル
グリークラブ
グリース
グリーティングカード
グリーン
グリーンズボロ
グリーンランド
グルグル
グルコサミン
グルコース
グルジア
グルタミン
グルッ
グルテン
グルニエ
グルノーブル
グルメ
グルメブーム
グルル
グルルル
グループ
グルーマー
グルーミング
グレコローマンスタイル
グレゴリオせいか【グレゴリオ聖歌】
グレゴリーれき【グレゴリー暦】
グレナダ
グレナディーンしょとう【グレナディーン諸島】
グレンチェック
グレー
グレートサンデーさばく【グレートサンデー砂漠】
グレートスレーブこ【グレートスレーブ湖】
グレートソルトこ【グレートソルト湖】
グレートデン
グレートプレーンズ
グレートベアこ【グレートベア湖】
グレートベースン
グレードアップ
グレーハウンド
グレープ
グレープフルーツ
グロス
グロスター
グロスターシャーしゅう【グロスターシャー州】
グロッキー
グロテスク
グローバリゼーション
グローバル
グローバルコモンズ
グローブ
グローブ
グローブジャングルジム
グローランプ
グワーン
グー
グーイ
グーグー
グーズベリー
－くらい－ぐらい
－ぐち【－口】
－ぐるい【－狂い】
－ぐるみ
ぐういしょうせつ【寓意小説［物語］】
ぐうすうび【偶数日】
ぐうすうぺーじ【偶数頁】
ぐうぞうか【偶像化［視］】
ぐうぞうすうはい【偶像崇拝】
ぐうぞうはかい【偶像破壊】
ぐうぞうはかいしゃ【偶像破壊者】
ぐしょうが【具象画】
ぐしんしょ【具申書】
ぐたいあん【具体案】
ぐたいか【具体化】
ぐたいせい【具体性】
ぐみんせいさく【愚民政策】
ぐもんぐとう【愚問愚答】
ぐんいしょうこう【軍医将校】
ぐんいそうかん【軍医総監】
ぐんかくきょうそう【軍拡競争】
ぐんかんき【軍艦旗】
ぐんがくたい【軍楽隊】
ぐんがくちょう【軍楽長】
ぐんきょほんのう【群居本能】
ぐんきろうえい【軍機漏洩ろうえい】
ぐんこくしゅぎ【軍国主義】
ぐんこくしゅぎしゃ【軍国主義者】
ぐんこくしょく【軍国色】
ぐんこくちょう【軍国調】
ぐんしゅうしんり【群集心理】
ぐんしゅくかいぎ【軍縮会議】
ぐんしゅくかいだん【軍縮会談】
ぐんじえいせい【軍事衛星】
ぐんじえんしゅう【軍事演習】
ぐんじえんじょ【軍事援助】
ぐんじかいにゅう【軍事介入】
ぐんじきち【軍事基地】
ぐんじきみつ【軍事機密】
ぐんじきょうかん【軍事教官】
ぐんじきょうてい【軍事協定】
ぐんじきょうれん【軍事教練】
ぐんじこうさい【軍事公債】
ぐんじこうどう【軍事行動】
ぐんじこもん【軍事顧問】
ぐんじこもんだん【軍事顧問団】
ぐんじさいばん【軍事裁判】
ぐんじさいばんじょ【軍事裁判所】
ぐんじしせつ【軍事施設】
ぐんじじょうせい【軍事情勢】
ぐんじせいけん【軍事政権】
ぐんじつう【軍事通】
ぐんじてきゆうい【軍事的優位】
ぐんじどうめい【軍事同盟】
ぐんじひ【軍事費】
ぐんじひょうろんか【軍事評論家】
ぐんじふうさ【軍事封鎖】
ぐんじゅがいしゃ【軍需会社】
ぐんじゅけいき【軍需景気】
ぐんじゅこうじょう【軍需工場】
ぐんじゅさんぎょう【軍需産業】
ぐんじゅしざい【軍需資材】
ぐんじゅひん【軍需品［物資］】
ぐんじゅほきゅうきち【軍需補給基地】
ぐんじりょく【軍事力】
ぐんじんあがり【軍人あがり】
ぐんじんおんきゅう【軍人恩給】
ぐんじんせいかつ【軍人生活】
ぐんじんせいしん【軍人精神】
ぐんせいしょくぶつ【群生植物】
ぐんせいどうぶつ【群棲動物】
ぐんたいきょういく【軍隊教育】
ぐんたいこうしんきょく【軍隊行進曲】
ぐんたいしき【軍隊式】
ぐんたいせいかつ【軍隊生活】
ぐんたいゆそうせん【軍隊輸送船】
ぐんだんちょう【軍団長】
ぐんぱつじしん【群発地震】
ぐんびかくちょう【軍備拡張】
ぐんびきょうそう【軍備競争】
ぐんびさくげん【軍備削減】
ぐんびしゅくしょう【軍備縮小】
ぐんびしゅくしょうかいぎ【軍備縮小会議】
ぐんびせいげん【軍備制限】
ぐんびてっぱい【軍備撤廃】
ぐんぶ【郡部】
ぐんぽうかいぎ【軍法会議】
ぐんようき【軍用機】
ぐんようきん【軍用金】
ぐんようひん【軍用品】
ぐんようれっしゃ【軍用列車】
ぐんりゃくか【軍略家】
グラウンドキーパー
グラウンドコンディション
グラウンドストローク
グラウンドボーイ
グラウンドマナー
グラウンドルール
グラウンドワーク
グラタンざら【グラタン皿】
グラビアしゃしん【グラビア写真】
グラビアインキ
グラフようし【グラフ用紙】
グラフィックアート
グラフィックデザイナー
グラフィックデザイン
グリセリンさん【グリセリン酸】
グリニッジじ【グリニッジ（標準）時】
グリースどめ【グリース止め】
グリースペイント
グリーンしゃ【グリーン車】
グリーンでんりょく【グリーン電力】
グリーンカード
グリーンピース
グリーンフィー
グリーンベルト
グリーンベレー
グルタミンさん【グルタミン酸】
グルタミンさんソーダ【グルタミン酸ソーダ】
グループウエア
グレーゾーン
グレーゾーンきんり【グレーゾーン金利】
グレープジュース
グレーマーケット
グロテスクようしき【グロテスク様式［模様］】
グローバルか【グローバル化】
ぐうのねもでない【ぐうの音も出ない】
ぐちをこぼす【愚痴をこぼす】
ぐにもつかない【愚にもつかない】
ぐういてき【寓意的】
ぐうぜんせい【偶然性】
ぐうぜんに【偶然に】
ぐうぜんの【偶然の】
ぐうぞうかする【偶像化［視］する】
ぐうたらな
ぐうはつする【偶発する】
ぐうはつてき【偶発的】
ぐげんする【具現する】
ぐしんする【具申する】
ぐずな
ぐたいかする【具体化する】
ぐたいてき【具体的（に）】
ぐちょくな【愚直な】
ぐどんな【愚鈍な】
ぐびする【具備する】
ぐまいな【愚昧な】
ぐれつな【愚劣な】
ぐろうする【愚弄する】
ぐんきょする【群居する】
ぐんこくしゅぎてき【軍国主義的】
ぐんしょうの【群小の】
ぐんせいする【群棲する】
ぐんせいする【群生する】
ぐんそうする【軍装する】
ぐんたいしきに【軍隊式に】
ぐんにゃりする
ぐんの【軍の】
ぐんぶする【群舞する】
ぐんようの【軍用の】
ぐんりゃくじょう【軍略上】
ぐんりゃくじょうの【軍略上の】
グアテマラの
グリセリンの
グレナダの【グレナダ（人）の】
グレードアップする
グロッキーの
グロテスクな
