「さけのうえで」はいいわけにならない【「酒の上で」は(…の)言い訳にならない】
さいがいのきけんせい【災害の危険性】
さいがいふっきゅう【災害復旧】
さいがいふっきゅうさぎょう【災害復旧作業】
さいがいほけん【災害保険】
さいがいほしょう【災害補償】
さいがいぼうしきょういく【災害防止[防災]教育】
さいがいよぼう【災害予防】
さいがいをふせぐ【災害を防ぐ】
さいき【債鬼】
さいき【再帰】
さいき【再起】
さいき【才気】
さいき【祭器】
さいきどう【再起動】
さいきょ【再挙】
さいきょう【最強】
さいきょういく【再教育】
さいきん【最近】
さいきん【細菌】
さいきん【細菌】
さいきんいでんがく【細菌遺伝学】
さいきんかんせんによってはいえんにかかる【細菌感染によって肺炎にかかる】
さいきんがいこくじんかんこうきゃくがきゅうぞうしている【最近外国人観光客が急増している】
さいきんがそりんかかくがじょうしょうにてんじている【最近ガソリン価格が上昇に転じている】
さいきんきれるこがふえている【最近キレる子が増えている】
さいきんこう【再均衡(化)[リバランス]】
さいきんこうひょうされたぶんしょ【最近公表された文書】
さいきんできたえき【最近できた駅】
さいきんでは、…のふうちょうがつよまっている【最近では、…の風潮が強まっている】
さいきんのきじ【最近の記事】
さいきんのけつぎ【最近の決議】
さいきんのけんきゅう【最近の研究】
さいきんのけんきゅうで…がわかった【最近の研究で…が分かった】
さいきんのせいいく【細菌の生育】
さいきんのぞうしょくをふせぐ【細菌の増殖[繁殖]を防ぐ】
さいきんのつなみのそくど【最近の津波の速度】
さいきんのてれびばんぐみ【最近のテレビ番組】
さいきんのはんけつ【最近の判決】
さいきんのはんてい【最近の判定】
さいきんのぶんりほうほう【細菌の分離方法】
さいきんのよろんちょうさ【最近の世論調査】
さいきんのよろんちょうさで【最近の世論調査で】
さいきんはこっきょうをこえてのひとのおうらいがかっぱつだ【最近は国境を越えての人の往来が活発だ】
さいきんをけんしゅつする【細菌を検出する】
さいきんをばいようする【細菌を培養する】
さいぎ【再議】
さいぎ【猜疑】
さいぎけつ【再議決】
さいぎんみ【再吟味】
さいく【細工】
さいくつ【採掘】
さいくぶん【細区分】
さいくん【細君】
さいぐんび【再軍備】
さいけい【歳計】
さいけいこく【最恵国】
さいけいれい【最敬礼】
さいけつ【採決】
さいけつ【採血】
さいけつ【裁決】
さいけん【債券】
さいけん【債権】
さいけん【再建】
さいけんしゃしゅうかい【債権者集会】
さいけんとう【再検討】
さいけんとう【再検討】
さいけんとうのよち【再検討[見直し]の余地】
さいげつ【歳月】
さいげん【再現】
さいげん【再現】
さいげん【際限】
さいげんじっけん【(その状態の)再現実験】
さいげんする【(その実験結果を)再現する】
さいげんせい【(その試験の)再現性】
さいげんびでお【再現ビデオ】
さいこ【最古】
さいこう20ねんのちょうえきばつ【最高20年の懲役罰】
さいこう【再考】
さいこう【再興】
さいこう【採光】
さいこう【採鉱】
さいこう【最高】
さいこう【最高】
さいこうがく【最高額】
さいこうきかん【(国権の)最高機関】
さいこうきゅうひん【最高級品】
さいこうけい【最高刑】
さいこうけいえいせきにんしゃとしてのしょくむ【最高経営責任者としての職務】
さいこうけっさく【(彼女の全作品の中の)最高傑作】
さいこうけつあつのじょうげん【最高血圧の上限】
さいこうこく【再抗告】
さいこうごじゅうまんえんのばっきんがかせられる【最高50万円の罰金が科せられる[命じられる]】
さいこうさい【最高裁】
さいこうさいじむそうきょく【最高裁事務総局】
さいこうさいばんしょのほーむぺーじ【最高裁判所のホームページ】
さいこうしちょうりつ【最高視聴率】
さいこうしどうしゃ【(軍事政権の)最高指導者】
さいこうしょうひがく【(過去)最高消費額】
さいこうしれいかん【最高司令官】
さいこうしれいぶ【最高司令部】
さいこうじんみんかいぎ【《北朝鮮の》最高人民会議】
さいこうせきにんしゃ【(国の安全保障の)最高責任者】
さいこうせきにんしゃ【(政府の)最高責任者】
さいこうぜいりつ【最高税率】
さいこうちてん【(富士山の)最高地点】
さいこうちょう【最高潮】
さいこうとくてん【最高得点】
さいこうのいしょうにつつまれる【最高の衣装に包まれる】
さいこうのいしょうをみにつける【最高の衣装を身につける】
さいこうのよち【再考の余地】
さいこうび【最後尾】
さいこうふ【再交付】
さいこうほう【最高峰】
さいこうほうき【(日本の)最高法規】
さいこうぽすと【(党の)最高ポスト】
さいこうりえき【(過去)最高利益】
さいこうれい【最高齢】
さいこうれべるのせつび【最高レベルの設備】
さいこく【催告】
さいこよう【再雇用】
さいこよう【再雇用】
さいこようしゃ【再雇用者[社員]】
さいこようのきかい【再雇用の機会】
さいころ【賽子骰子】
さいこん【再婚】
さいこんきんしきかん【再婚禁止期間[待婚期間]】
さいこんをすすめる【再婚を勧める】
さいご【最後】
さいご【最後】
さいご【最期】
さいご【災後】
さいごのあんぜんもう【最後の安全網】
さいごのいしけってい【最後の意思決定】
さいごのいっぱんきょうしょえんぜつ【(米国大統領としての)最後の一般教書演説】
さいごのおわかれ【最後のお別れ】
さいごのきかい【(…するための)最後の機会】
さいごのしゅんかんのどりょく【最後の瞬間[土壇場]の努力】
さいごのしーん【(その映画の)最後のシーン】
さいごのたたかい【最後の闘い】
さいごのたのみのつな【最後の頼みの綱】
さいごのちゃんす【最後の[ラスト]チャンス】
さいごのはーどる【最後のハードル】
さいごふっこう【災後復興】
さいごまで【最後まで】
さいごまでにげていたふたり【最後まで逃げていた二人】
さいさき【幸先】
さいさん【再三】
さいさん【採算】
さいさん【採算】
さいさんあっか【採算悪化】
さいさんかんり【採算管理】
さいさんがわるくなる【採算が悪くなる[悪化する]】
さいさんせい【採算性】
さいさんせいど【採算制度】
さいさんせいのひくいのうか【採算性の低い農家】
さいさんせいをいじする【採算性を維持する】
さいさんにあう【採算に合う】
さいさんのとれるちゅうしょうきぎょう【採算の取れる中小企業】
さいし【妻子】
さいし【才子】
さいし【祭司】
さいし【祭祀】
さいしき【彩色】
さいしけん【再試験】
さいして【際して】
さいしゅ【採取】
さいしゅう【採集】
さいしゅう【最終】
さいしゅうあん【最終案】
さいしゅうけってい【最終決定】
さいしゅうごうい【最終合意】
さいしゅうしょく【再就職】
さいしゅうしょくする【再就職する】
さいしゅうじあい【最終試合】
さいしゅうせきにん【最終責任】
さいしゅうせきにんはかれにある【最終責任は彼にある】
さいしゅうだんかいで【(…の)最終段階で】
さいしゅうちょうせい【最終調整】
さいしゅうてきけっちゃく【最終的決着】
さいしゅうでんしゃ【最終電車】
さいしゅうどう【さいしゅう(済州)道】
さいしゅうのぷろぐらむ【最終のプログラム】
さいしゅうぶんしょ【最終文書】
さいしゅうほうこく【最終報告】
さいしゅうほうこくしょ【最終報告書】
さいしゅうもくひょう【最終目標】
さいしゅうよせん【最終予選】
さいしゅしたぶっしつ【採取した物質】
さいしゅっぱつ【再出発】
さいしゅつ【歳出】
さいしゅつかいかく【歳出改革】
さいしゅつのきょうせいさくげん【歳出の強制削減】
さいしゅつよくせい【歳出抑制】
さいしゅつをあっしゅくする【歳出を圧縮する】
さいしょ【最初】
さいしょ【最初】
さいしょう【宰相】
さいしょう【最小】
さいしょう【最少】
さいしょうけい【最少刑】
さいしょうげん【最小限】
さいしょうこうばいすう【最小公倍数】
さいしょからきまっているけつろん【最初から決まっている[分かりきっている]結論】
さいしょく【才色】
さいしょく【菜食】
さいしょのえいがしゅえん【最初の映画主演】
さいしょのかくじっけん【最初の核実験】
さいしょのかんそう【最初の感想[に思ったこと]】
さいしょのくりすますのおいわい【最初のクリスマスのお祝い】
さいしょのとりくみ【最初の取り組み】
さいしょのどようび【(１０月)最初の土曜日】
さいしょのにんきちゅうに【最初の任期中に】
さいしょのねっき【(…の)最初の熱気】
さいしょのはーどる【最初のハードル】
さいしょり【(使用済み核燃料の)再処理】
さいしょりこうじょう【(核燃料)再処理工場】
さいしん【再審】
さいしん【最新】
さいしん【細心】
さいしんえいのかんせん【最新鋭の艦船】
さいしんえいのたーみなる【最新鋭のターミナル】
さいしんえいのみさいるぼうえいしすてむ【最新鋭のミサイル防衛システム】
さいしんのじんこうぴらみっどのかたち【最新の人口ピラミッドの形】
さいしんのちしき【最新の知識】
さいしんのてくのろじー【最新のテクノロジー】
さいしんのにゅーす【最新のニュース】
さいしんのばんぐみ【最新の番組】
さいしんのよろんちょうさ【最新の世論調査】
さいしんのりょこうちず【最新の旅行地図】
さいしんばん【最新版】
さいしんをせいきゅうする【再審を請求する】
さいじ【催事】
さいじ【祭事】
さいじ【細事】
さいじ【細字】
さいじき【歳時記】
さいじつ【祭日】
さいじょ【才女】
さいじょう【斎場】
さいじょう【最上】
さいじょう【祭場】
さいじょうい【最上位】
さいじょういのかいぎ【最上位の会議】
さいじょういもでる【最上位モデル】
さいじん【才人】
さいすたーと【再スタート[再開]】
さいすん【採寸】
さいせい【再生】
さいせい【再生】
さいせい【再製】
さいせい【祭政】
さいせいいりょう【再生医療】
さいせいいりょう【再生医療】
さいせいいりょう【再生医療】
さいせいいりょうあんぜんせいかくほほう【再生医療安全性確保法】
さいせいいりょうぎじゅつ【再生医療技術】
さいせいいりょうせいひん【再生医療製品】
さいせいいりょうへのきたい【再生医療への(高い)期待】
さいせいえね【再生エネ(ルギー)】
さいせいえねるぎーのかいとりひよう【再生エネルギーの買い取り費用】
さいせいかいすう【(動画の)再生回数】
さいせいかのうえねるぎー【再生可能エネルギー】
さいせいかのうえねるぎー【再生可能エネルギー】
さいせいかのうえねるぎーぎじゅつ【再生可能エネルギー技術】
さいせいかのうえねるぎーによるはつでん【再生可能エネルギーによる発電】
さいせいかのうえねるぎーのかいはつ【再生可能エネルギーの開発】
さいせいかのうえねるぎーのどうにゅう【再生可能エネルギーの導入】
さいせいかのうえねるぎーのりよう【再生可能エネルギーの利用】
さいせいかのうえねるぎーのりようをひろげる【再生可能エネルギーの利用を広げる】
さいせいかのうえねるぎーをしょうれいする【再生可能エネルギーを奨励する】
さいせいき【最盛期】
さいせいさせる【(日本の農業を)再生させる】
さいせいさん【再生産】
さいせいする【(日本を)再生する】
さいせいもでる【再生モデル】
さいせき【採石】
さいせき【砕石】
さいせん【再選】
さいせん【賽銭】
さいせんたん【最先端】
さいせんたんけんきゅうしえんぷろぐらむ【最先端研究支援プログラム】
さいせんたんのかがくけんきゅうのあくよう【最先端の科学研究の悪用】
さいせんたんのきき【最先端の機器】
さいせんたんのぎじゅつ【最先端の技術】
さいぜん【最前】
さいぜん【最善】
さいぜんせん【最前線】
さいぜんせんでさぎょういんのしきにあたるしょくいん【最前線で作業員の指揮にあたる職員】
さいぜんせんのえんじょたいいん【最前線の援助隊員】
さいぜんのかいけつ【最善の解決(策)】
さいそく【催促】
さいそく【細則】
さいた【最多】
さいたい【妻帯】
さいたい【臍帯】
さいたく【採択】
さいたく【採択】
さいたくけんげん【(…の)採択権限】
さいたくされる【採択される】
さいたくのきょうとぎていしょ【(1997年)採択の京都議定書】
さいたすう【最多数】
さいたる【最たる】
さいたん【採炭】
さいたん【最短】
さいだい【最大】
さいだい【細大】
さいだいきゅうのてーま【最大級のテーマ】
さいだいげん【最大限】
さいだいげんのけいかい【最大限の警戒】
さいだいこうやくすう【最大公約数】
さいだいしんど【最大震度】
さいだいしんどななのじしん【最大震度７の地震】
さいだいせいのう【最大性能】
さいだいのいぎ【最大の意義】
さいだいのきょうりょく【(可能な限り)最大の協力】
さいだいのげんいん【(がんの)最大の原因】
さいだいのしょうがい【最大の障害】
さいだいのしょうてん【最大の焦点】
さいだいのなんかん【(…する)最大の難関】
さいだいやく30ぱーせんとのでんりょくぶそく【最大約30％の電力不足】
さいだいやとう【最大野党】
さいだん【祭壇】
さいだん【裁断】
さいち【才知】
さいち【細緻】
さいちゅう【最中】
さいちょう【最長】
さいちょうきかん【(…のための)最長期間】
さいちょうさ【再調査】
さいちょうさをする【再調査をする】
さいづち【才槌】
さいてい【最低】
さいてい【最低】
さいてい【裁定】
さいていかにゅうきかん【(年金の)最低加入期間】
さいていきじゅん【(…のための)最低基準】
さいていげん【最低限】
さいていげんのきじゅん【最低限の基準】
さいていげんのせいかつができる【最低限の生活ができる】
さいていげんのほうきせい【最低限の法規制】
さいていじゅういちじかんのきゅうそく【最低１１時間の休息】
さいていでも【最低でも】
さいていにおちこむ【(戦後)最低に落ち込む】
さいていのかんきょうふか【最低の環境負荷】
さいていほしょう【最低保障】
さいていほしょうねんきん【(月額…円の)最低保障年金】
さいていらいん【(…の)最低ライン】
さいていらいん【最低ライン[最低限必要(な物)]】
さいていをきろくする【(戦後)最低を記録する】
さいてき【最適】
さいてきなちりょうをせんたくする【最適な治療を選択する】
さいてきのいち【最適の位置】
さいてん【再転】
さいてん【採点】
さいてん【祭典】
さいでん【祭殿】
さいとく【才徳】
さいとつにゅう【再突入】
さいど【再度】
さいど【彩度】
さいどく【再読】
さいどのちょうせん【再度の挑戦】
さいなむ【苛む】
さいなん【さいなん(済南)】
さいなん【災難】
さいにゅう【歳入】
さいにゅうこく【再入国】
さいにん【再任】
さいにん【再認】
さいにんしき【再認識】
さいねん【再燃】
さいねんしょう【最年少】
さいねんちょう【最年長】
さいのう【才能】
さいのかわら【賽の河原】
さいのめ【賽の目采の目】
さいはい【采配】
さいはっけん【再発見】
さいはっこう【再発行】
さいはつ【再発】
さいはつ【再発】
さいはつぼうし【再発防止】
さいはつぼうしさく【(…の)再発防止策】
さいはつりつ【再発率《病気の》】
さいはつをふせぐ【(…の)再発を防ぐ】
さいはて【最果て】
さいはん【再版】
さいはん【再犯】
さいはん【再販】
さいばい【栽培】
さいばいぎじゅつ【栽培技術】
さいばし【菜箸】
さいばしる【才走る】
さいばん【裁判】
さいばん【裁判】
さいばんいん【裁判員】
さいばんいんさいばん【裁判員裁判】
さいばんいんにはいりょしたりっしょうをする【裁判員に配慮した立証をする】
さいばんかんしゅっしん【裁判官出身[元裁判官]】
さいばんきろく【裁判記録】
さいばんしょからいいわたされたばっきん…えん【裁判所から言い渡された罰金…円】
さいばんしょからばっきんひゃくまんえんのりゃくしきめいれいをうける【裁判所から罰金100万円の略式命令を受ける】
さいばんしょのしょうにん【裁判所の承認】
さいばんしょはかのじょのしゅちょうをみとめた【裁判所は彼女の主張を認めた】
さいばんであらそう【(…を)裁判で争う】
さいばんのげんそく【裁判の原則】
さいばんのてつづき【裁判の手続き】
さいばんのとちゅうで【裁判の途中で】
さいばんのやりなおし【裁判のやり直し】
さいばんをおこす【(…に対して)裁判を起こす】
さいばんをながびかせる【裁判を長引かせる】
さいばーくうかん【サイバー空間】
さいばーくうかんが「はんざいくうかん」になるのをふせぐ【サイバー空間が「犯罪空間」になるのを防ぐ】
さいばーこうげき【サイバー攻撃】
さいばーこうげき【サイバー攻撃】
さいばーこうげきからうぇぶさいとをまもる【サイバー攻撃からウェブサイトを守る】
さいばーこうげきたいさく【サイバー攻撃対策】
さいばーこうげきたいさく【サイバー攻撃対策】
さいばーこうげきにたいするぼうえい【サイバー攻撃に対する防衛】
さいばーこうげきにたいするぼうえい【サイバー攻撃に対する防衛】
さいばーこうげきのひょうてきになる【サイバー攻撃の標的になる】
さいばーこうげきぷろぐらむ【サイバー攻撃プログラム】
さいばーせんそう【サイバー戦争】
さいばーてろがひんぱつしている【サイバーテロが頻発している】
さいばーはんざい【サイバー[ネット]犯罪】
さいばーはんざい【サイバー犯罪】
さいばーへいき【サイバー兵器】
さいばーへいきをかいはつする【サイバー兵器を開発する】
さいばーへいきをかいはつする【サイバー兵器を開発する】
さいひ【採否】
さいひ【歳費】
さいひつ【才筆】
さいひつ【細筆】
さいひょうか【再評価】
さいひょうせん【砕氷船】
さいふ【採譜】
さいふ【財布】
さいぶ【細部】
さいぶん【細分】
さいへん【再編】
さいへん【砕片】
さいへん【細片】
さいへんしゅう【再編集】
さいほう【裁縫】
さいほう【西方】
さいほうそう【再放送】
さいほく【最北】
さいぼう【細胞】
さいぼう【細胞】
さいぼういやくひん【細胞医薬品】
さいぼうしーと【細胞シート】
さいぼうぶんれつ【細胞分裂】
さいぼうまく【細胞膜】
さいぼうをいしょくする【細胞を移植する】
さいまつ【歳末】
さいみつ【細密】
さいみん【催眠】
さいむ【債務】
さいむざんだか【(政府)債務残高】
さいむふりこうをかいひする【債務不履行を回避する】
さいむむちょうかになる【債務超過になる】
さいむもんだい【債務問題】
さいもく【細目】
さいやく【災厄】
さいゆ【採油】
さいゆうしゅう【最優秀】
さいゆうしゅうかんとくしょう【最優秀監督賞】
さいゆうせん【最優先】
さいゆうせんするもの【最優先するもの】
さいゆうせんのげんそく【最優先の原則】
さいゆしゅつ【再輸出】
さいゆにゅう【再輸入】
さいよう【採用】
さいよう【採用】
さいよういよく【採用意欲】
さいようかつどう【採用活動】
さいようする【(人を)採用する】
さいようめんせつ【(コーヒー店の)採用面接】
さいようめんせつ【採用面接】
さいようよていしゃ【採用予定者】
さいようよていしゃすう【採用予定者数】
さいようよていすう【採用予定数】
さいようをかくだいする【採用を拡大する】
さいようをさくげんする【採用を削減する】
さいようをそくしんする【(…の)採用を促進する】
さいらい【再来】
さいりしゅう【再履修】
さいりゃく【才略】
さいりゅう【細流】
さいりょう【宰領】
さいりょう【最良】
さいりょう【裁量】
さいりょうてきけいひ【裁量的経費】
さいりょうのこんでぃしょんをいじする【最良のコンディションを維持する】
さいりょうのよち【裁量の余地】
さいりょうろうどうせい【裁量労働制】
さいりよう【(資源の)再利用】
さいりよう【再利用】
さいりん【再臨】
さいるい【催涙】
さいれい【祭礼】
さいれんのおと【サイレンの音】
さいろく【再録】
さいろく【採録】
さいわい【幸い】
さいわん【才腕】
さい－【再－】
さい－【最－】
さうな【サウナ(ぶろ)】
さえ【冴え】
さえかえる【冴え返る】
さえき【差益】
さえぎる【遮る】
さえざえ【冴え冴え】
さえずり【囀り】
さえずる【囀る】
さえつ【査閲】
さえる【冴える】
さえわたる【冴え渡る】
さお【竿棹】
さおさす【棹差す】
さおだけ【竿竹】
さおとめ【早乙女】
さか【坂】
さか【茶菓】
さかあがり【逆上がり】
さかい【境】
さかうらみ【逆恨み】
さかえ【栄え】
さかえる【栄える】
さかおとし【逆落とし】
さかき【榊】
さかぐら【酒蔵】
さかげ【逆毛】
さかご【逆子】
さかさ【逆さ】
さかしい【賢しい】
さかしま【逆しま】
さかしら【賢しら】
さかずき【杯盃】
さかずきごと【杯事盃事】
さかぞり【逆剃り】
さかだい【酒代】
さかだち【逆立ち】
さかだつ【逆立つ】
さかだてる【逆立てる】
さかだる【酒樽】
さかて【逆手】
さかて【酒手】
さかな【肴】
さかな【魚】
さかな【魚】
さかなで【逆撫で】
さかなのえさとなるせいぶつ【魚の餌となる生物】
さかなのさんちひょうじ【魚の産地表示】
さかなのらんかく【魚の乱獲】
さかなふれーく【魚フレーク】
さかなみ【逆波】
さかなようのないふ【魚用のナイフ】
さかなをかこうする【魚を加工する】
さかなをつかったにほんしょく【魚を使った日本食】
さかなをとる【魚を捕る】
さかねじ【逆捩じ】
さかのぼる【遡る溯る】
さかば【酒場】
さかまく【逆巻く】
さかまつげ【逆睫】
さかみち【坂道】
さかみち【坂道】
さかもり【酒盛り】
さかや【酒屋】
さかやけ【酒焼け】
さかゆめ【逆夢】
さからう【逆らう】
さかり【盛り】
さかりば【盛り場】
さかん【左官】
さかん【盛ん】
さが【性】
さがく【差額】
さがしあてる【捜し当てる探し当てる】
さがしだす【捜し出す探し出す】
さがしまわる【捜し回る探し回る】
さがしもの【捜し物探し物】
さがす【捜す探す】
さがない
さがり【下がり】
さがりめ【下がり目】
さがる【下がる】
さがん【左岸】
さがん【砂岩】
さき【先】
さき【左記】
さきおくり【先送り】
さきおととい【一昨昨日】
さきおととし【一昨昨年】
さきがい【先買い】
さきがけ【先駆け先駈け】
さきがける【先駆ける】
さきこぼれる【咲き溢れる】
さきごろ【先頃】
さきさま【先様】
さきざき【先先】
さきそめる【咲き初める】
さきそろう【咲き揃う】
さきぞめ【先染め】
さきだか【先高】
さきだつ【先立つ】
さきだてる【先立てる】
さきづけ【先付け】
さきどなり【先隣】
さきどり【先取り】
さきにおう【咲き匂う】
さきにふっくがついているぼう【先にフックがついている棒】
さきのこる【咲き残る】
さきばしり【先走り】
さきばしる【先走る】
さきばらい【先払い】
さきぶと【先太】
さきぶれ【先触れ】
さきほこる【咲き誇る】
さきほど【先程】
さきぼう【先棒】
さきぼそ【先細】
さきぼそり【先細り】
さきまわり【先回り】
さきみだれる【咲き乱れる】
さきもの【先物】
さきものとりひき【先物取引】
さきやす【先安】
さきゅう【砂丘】
さきゆき【先行き】
さきわたし【先渡し】
さきわれスプーン【先割れスプーン】
さきん【砂金】
さきんずる【先んずる】
さぎ【詐欺】
さぎ【詐欺】
さぎ【鷺】
さぎざい【詐欺罪】
さぎてきぎょうしゃ【詐欺的業者】
さぎでんわ【詐欺(の)電話】
さぎにあう【詐欺にあう】
さぎのうたがい【詐欺の疑い】
さぎょう【作業】
さぎょう【作業】
さぎょうしゃりょう【作業車両】
さぎょうちゅうのせいそういん【作業中の清掃員】
さぎょうのこうりつか【作業の効率化】
さぎょうのわりあて【作業の割り当て】
さぎょうふく【作業服】
さぎょうぶかい【作業部会】
さぎょうぶかい【作業部会】
さぎょうりょう【作業量】
さぎょうをさいかいする【作業を再開する】
さぎょうをする【作業をする】
さぎょうをはじめる【作業を始める】
さぎょうをやめるけはい【(…の)作業をやめる気配】
さぎをはたらく【詐欺を働く】
さく【作】
さく【割く】
さく【咲く】
さく【柵】
さく【策】
さく【裂く】
さくい【作意】
さくい【作為】
さくいん【索引】
さくおとこ【作男】
さくが【作画】
さくがら【作柄】
さくがんき【鑿岩機】
さくぐ【索具】
さくげん【削減】
さくげん【削減】
さくげんさく【(…の)削減策】
さくげんしたそのじぎょうひ【削減したその事業費】
さくげんする【(…を)削減する】
さくげんほうしん【(…の)削減方針】
さくげんもくひょう【削減目標】
さくご【錯誤】
さくさく
さくさく【嘖嘖】
さくさん【酢酸】
さくし【作詞】
さくし【作詩】
さくし【策士】
さくしゃ【作者】
さくしゃのけんり【作者[考案者]の権利】
さくしゅ【搾取】
さくしゅう【昨秋】
さくしゅん【昨春】
さくしーずん【昨シーズン】
さくしーずん【昨シーズン】
さくじつ【昨日】
さくじょ【削除】
さくじょ【削除】
さくじょされたうぇぶぺーじ【削除されたウェブページ】
さくじょする【(…を)削除する】
さくじょにかんするきてい【(…の)削除に関する規定】
さくじょぽりしー【(検索結果の)削除ポリシー[方針]】
さくす【策す】
さくず【作図】
さくせい【作成】
さくせい【鑿井】
さくせん【作戦】
さくせんさんかきょひ【作戦参加拒否】
さくそう【錯綜】
さくちゅう【作中】
さくっ
さくづけ【作付け】
さくてい【策定】
さくてき【索敵】
さくどう【策動】
さくどう【索道】
さくにゅう【搾乳】
さくねん、ていせんがごういされた【昨年、停戦が合意された】
さくねん、ぶっかがじょうしょうした【昨年、物価が上昇した】
さくねん【昨年】
さくねんこうひょうしたちょうさ【昨年公表した調査】
さくねんど【昨年度】
さくねんはついらくじこが2けんおきた【昨年は墜落事故が2件起きた】
さくばく【索漠索莫】
さくばん【昨晩】
さくひん【作品】
さくふう【作風】
さくぶん【作文】
さくぼう【策謀】
さくもつ【作物】
さくや【昨夜】
さくやく【炸薬】
さくゆ【搾油】
さくゆう【昨夕】
さくら
さくら【桜】
さくら【桜】
さくらえび【桜蝦】
さくらかいかよそう【桜開花予想】
さくらがい【桜貝】
さくらがかいかする【桜が(一斉に)開花する】
さくらがまんかいである【桜が満開[見ごろ]である】
さくらそう【桜草】
さくらのかいかせんげん【桜の開花宣言】
さくらのき【桜の木】
さくらのきせつ【桜の季節】
さくらのこかげ【桜の木陰(に)】
さくらのとんねる【桜のトンネル】
さくらのはな【桜の花】
さくらのめいしょ【桜の名所】
さくらをたのしむ【桜を楽しむ】
さくらをみる【桜を見る】
さくらをみるかい【桜を見る会】
さくらん【錯乱】
さくらんぼ【桜ん坊桜桃】
さくりゃく【策略】
さくれい【作例】
さくれつ【炸裂】
さく－【昨－】
さぐり【探り】
さぐりあい【探り合い】
さぐりあし【探り足】
さぐりあてる【探り当てる】
さぐりだす【探り出す】
さぐりまわる【探り回る】
さぐる【探る】
さけ【酒】
さけ【鮭】
さけい【左傾】
さけかす【酒粕酒糟】
さけくさい【酒臭い】
さけぐせ【酒癖】
さけのみ【酒飲み】
さけび【叫び】
さけびごえ【叫び声】
さけびごえ【叫び声】
さけびごえをあげる【叫び声を上げる】
さけびたり【酒浸り】
さけぶ【叫ぶ】
さけますりょう【鮭鱒漁】
さけめ【裂け目】
さける【裂ける】
さける【避ける】
さけるべきいいまわし【避けるべき言い回し】
さけるべきこうどう【避けるべき行動】
さげ【下げ】
さげかじ【下げ舵】
さげしぶる【下げ渋る】
さげすみ【蔑み】
さげすむ【蔑む】
さげる【下げる】
さげる【提げる】
さげわたす【下げ渡す】
さげん【左舷】
さこうじゅう【サ高住】
さこうべん【左顧右眄】
さこく【鎖国】
さこつ【鎖骨】
ささ【笹】
ささいな【些細な】
ささいなあくじ【ささいな悪事】
ささえ【支え】
ささえる【支える】
ささがき【笹掻き】
ささくれ
ささくれだつ【ささくれ立つ】
ささくれる
ささげ【大角豆】
ささげつつ【捧げ銃】
ささげもつ【捧げ持つ】
ささげもの【捧げ物】
ささげる【捧げる】
ささつ【査察】
ささぶね【笹舟】
ささみ【笹身】
ささめゆき【細雪】
ささやか【細やか】
ささやき【囁き】
ささやきせんじゅつ【(捕手の)ささやき戦術】
ささやく【囁く】
ささやぶ【笹藪】
ささら【簓】
ささる【刺さる】
さざえ【栄螺】
さざなみ【細波小波漣】
さざめき
さざめく
さざれいし【さざれ石】
さざんか【山茶花】
さし【差し】
さし【砂嘴】
さしあげる【差し上げる】
さしあし【差し足】
