れああーすのきょうどうかいはつ【レアアースの共同開発】
れきしのぶたい【歴史の舞台】
れきしのみちしるべ【歴史の道標】
れきしはくりかえす【歴史は繰り返す】
れきしもんだい【歴史問題】
れきしもんだいへのこしつ【歴史問題への固執】
れきしわいきょく【歴史(の)歪曲】
れきしをおしえる【歴史を教える】
れきしをわすれる【歴史を忘れる】
れきじつ【暦日】
れきすう【暦数】
れきせい【瀝青】
れきせん【歴戦】
れきぜん【歴然】
れきだい【歴代】
れきにん【歴任】
れきねん【暦年】
れきねんれい【暦年齢】
れきほう【暦法】
れきほう【歴訪】
れすとらんのいりぐち【レストランの入り口】
れっか【劣化】
れっか【烈火】
れっかしたいんふら【劣化したインフラ】
れっき【列記】
れっきとした【歴とした】
れっきょ【列挙】
れっきょう【列強】
れっこく【列国】
れっしゃ【列車】
れっしゃうんこうしれいせんたー【列車運行司令センター】
れっしゃがえきにつくと【列車が駅に着くと】
れっしゃないでかさいがはっせいした【列車内で火災が発生した】
れっしゃのうんきゅう【列車の運休】
れっしゃのうんこうがみだれた【列車の運行が乱れた】
れっしゃのうんてんさいかい【列車の運転[運行]再開】
れっしゃのうんてんしゅ【列車の運転手】
れっしゃのじょうきゃく【列車の乗客】
れっしょう【裂傷】
れっしん【烈震】
れっする【列する】
れっせい【劣勢】
れっせい【劣性】
れっせき【列席】
れっとう【列島】
れっとう【劣等】
れっぷう【烈風】
れつ【列】
れつあく【劣悪】
れつごさい【劣後債】
れつじつ【烈日】
れつじゃく【劣弱】
れつじょ【烈女】
れつじょう【劣情】
れつでん【列伝】
れとろげーむをする【レトロゲームをする】
れびーしょうたいがたにんちしょう【レビー小体型認知症】
れぽーとを１まいにおさめる【レポートを１枚に収める】
れむすいみん【レム睡眠】
れろれろ
れん【連】
れんあい【恋愛】
れんあいかんけい【恋愛関係】
れんか【廉価】
れんか【恋歌】
れんかばん【廉価版】
れんが【煉瓦】
れんが【連歌】
れんがそうこ【レンガ倉庫】
れんき【連記】
れんきゅう【連休】
れんきゅう【連休】
れんきゅうあけに【連休明けに】
れんきゅうあけのあさ【連休明けの朝】
れんきゅうきかん【連休期間】
れんきゅうとなる【連休となる】
れんきゅうにする【連休にする】
れんきんじゅつ【錬金術】
れんく【連句】
れんけい【連係連繋】
れんけい【連携】
れんけい【連携】
れんけいかんごし【連携看護師】
れんけいかんごふ【連携看護師】
れんけいきょうか【連携強化】
れんけいきょうやく【連携協約】
れんけいのふちょう【連携の不調】
れんけいぶそく【(発電会社と送電会社の)連携不足】
れんけいをじつげんする【(日米韓の)連携を実現する】
れんけいをみつにする【連携を(緊)密にする】
れんけつ【廉潔】
れんけつ【連結】
れんげ【蓮華】
れんこ【連呼】
れんこう【連行】
れんこだい【連子鯛】
れんこん【蓮根】
れんご【連語】
れんごう【連合】
れんごうかんたい【連合艦隊】
れんごく【煉獄】
れんさ【連鎖】
れんさ【連鎖】
れんさい【連載】
れんさく【連作】
れんさてきなはきゅう【連鎖的な波及】
れんさとうさん【連鎖倒産】
れんさはんのう【(経済の)連鎖反応】
れんさはんのう【連鎖反応】
れんざ【連座連坐】
れんざん【連山】
れんしゅう【練習】
れんしゅう【練習】
れんしゅうかん【練習艦[船］】
れんしゅうごに【練習後に】
れんしゅうのしかた【練習の仕方】
れんしゅうほう【練習(方)法】
れんしゅうようぞうきもけい【(外科医の)練習用臓器模型】
れんしゅうをする【(外国語の)(問題)練習をする】
れんしゅうをする【(演劇の)(予行)練習をする】
れんしゅうをする【(自転車の)練習をする】
れんしゅうをする【(英語の発音)練習をする】
れんしゅうをする【(試合に向けて)練習をする】
れんしゅうをつづける【練習を続ける】
れんしょ【連署】
れんしょう【連勝】
れんじ【連子櫺子】
れんじつ【連日】
れんじゅ【連珠聯珠】
れんじゅう【連中】
れんせい【錬成】
れんせん【連戦】
れんそう【連想】
れんぞく【連続】
れんぞく【連続】
れんぞくあんだ【連続安打】
れんぞくこうえん【連続公演[興行］】
れんぞくさつじんしゃ【連続殺人者】
れんぞくしたどうさ【連続した動作】
れんぞくしたなみ【連続した波】
れんぞくしたなみ【連続した波】
れんぞくする【連続する】
れんぞくてきなへんか【連続的な変化】
れんぞくてれびばんぐみ【連続テレビ番組】
れんぞくばくはつ【連続爆発】
れんぞくふしんし【連続不審死(事件)】
れんぞくゆうしょう【連続優勝】
れんたい【連帯】
れんたい【連帯】
れんたい【連隊】
れんたいいしき【連帯意識】
れんたいけい【連体形】
れんたいして…のせきにんをおう【連帯して…の責任を負う】
れんたいしてそのなんだいとむきあう【連帯してその難題と向き合う】
れんたいする【(テロ対策で)連帯する】
れんたいせきにん【連帯責任】
れんたいのひょうめい【連帯[支持］の表明】
れんたいのりねん【連帯の理念】
れんたいをうながす【(市民の)連帯を促す】
れんたいをつよめる【連帯を強める】
れんたつ【練達】
れんたるいせき【レンタル移籍】
れんたん【練炭煉炭】
れんだ【連打】
れんだい【蓮台】
れんだん【連弾】
れんちしん【廉恥心】
れんちゅう【連中】
れんちょく【廉直】
れんてつ【錬鉄】
れんとう【連投】
れんとげんぎし【レントゲン技師】
れんどう【連動】
れんにゅう【練乳煉乳】
れんねん【連年】
れんばい【廉売】
れんばん【連判】
れんばん【連番】
れんぱ【連破】
れんぱ【連覇】
れんぱい【連敗】
れんぱつ【連発】
れんびん【憐憫】
れんぺい【練兵】
れんぼ【恋慕】
れんぽう【連峰】
れんぽう【連邦】
れんぽうぎんこうりじ【連邦銀行理事】
れんぽうじゅんびぎんこう【(米国の)連邦準備銀行】
れんま【錬磨】
れんめい【連名】
れんめい【連盟】
れんめい【連盟】
れんめいからだったいする【連盟から脱退する】
れんめいにかにゅうする【連盟に加入する】
れんめいのいちいん【連盟の一員[メンバー］】
れんめいをしんせつする【連盟を新設する】
れんめいをそうせつする【連盟を創設する】
れんめん【連綿】
れんよう【連用】
れんらく【連絡】
れんらく【連絡】
れんらくかいぎ【連絡会議】
れんらくさき【連絡先】
れんらくせん【連絡船】
れんらくたいせい【連絡体制】
れんりつ【連立】
れんりつあいて【連立相手】
れんりつせいけんのいちよく【連立政権の一翼】
れんれん【恋恋】
れーしんぐかーようえんじん【レーシングカー用エンジン】
れーだーえいせい【レーダー衛星】
れーだーえいせい【レーダー衛星】
れーだーにもかからないようないなかまち【レーダーにもかからないような田舎町】
レ
レア
レアアース
レイ
レイアウト
レイオフ
レイキャビク
レイシズム
レイテ
レイトショー
レイプ
レイムダック
レイヤードルック
レイン
レインブーツ
レオタード
レオポルドビル
レオン
レガッタ
レガーズ
レガート
レキシントン
レギュラー
レギンス
レクイエム
レクリエーション
レグホン
レゲエ
レコーダー
レコーディング
レコード
レザー
レザー
レシチン
レシピ
レシフェ
レシプロエンジン
レシート
レシーバー
レシーブ
レジ
レジオネラかんせんしょう【レジオネラ感染症】
レジオンドヌール
レジスタンス
レジデンス
レジデント
レジメ
レジャー
レジュメ
レスキュー
レスターシャーしゅう【レスターシャー州】
レストハウス
レストラン
レストランチェーン
レストルーム
レスパイトケア
レスポンスタイム
レスラー
レスリング
レズビアン
レセプション
レセプト
レセプト
レソト
レタス
レタリング
レター
レダ
レチクルざ【レチクル座】
レッカーしゃ【レッカー車】
レッグウォーマー
レッスン
レッセフェール
レッテル
レット
レッド
レッドがわ【レッド川】
レッドカード
レッドカード
レッドデータブック
レッドパワー
レッドパージ
レッドリスト
レディング
レディー
レディーメード
レトリック
レトルト
レトロ
レトロゲーム
レナがわ【レナ川】
レニウム
レニングラード
レバノン
レバレッジ
レバー
レバー
レパートリー
レビュー
レビュー
レフェリー
レフト
レフリー
レフレクター
レフレックスカメラ
レプリカ
レベル
レポーター
レポート
レマンこ【レマン湖】
レム
レムすいみん【レム睡眠】
レムス
レモネード
レモン
レユニオン
レリーフ
レンジ
レンジフード
レンジャー
レンジャー
レンスター
レンズ
レンタ
レンタカー
レンタル
レンタルビデオ
レンチ
レントゲン
レンヌ
レーサー
レーザー
レーシングカー
レース
レース
レーズン
レーゾンデートル
レーダー
レート
レーベル
レーヨン
レール
レーン
レーンコート
レーンシューズ
－れき【－歴】
－れる
－れん【－連】
れいかんしょうほう【霊感商法】
れいきゃくき【冷却器】
れいきゃくきかん【冷却期間】
れいきゃくざい【冷却剤】
れいきゃくしつ【冷却室】
れいきゃくじょうこう【冷却条項】
れいきゃくすい【冷却水】
れいきゃくそうち【冷却装置】
れいきゃくとう【冷却塔】
れいきゅうしゃ【霊柩車】
れいぎただしい【礼儀正しい】
れいけつかん【冷血漢】
れいけつどうぶつ【冷血動物】
れいこんふめつ【霊魂不滅】
れいさいきぎょう【零細企業】
れいさいじ【零歳児】
れいさいのうぎょう【零細農業】
れいじょうめぐり【霊場巡り】
れいすいかい【冷水塊】
れいすいき【冷水器】
れいすいまさつ【冷水摩擦】
れいすいよく【冷水浴】
れいせいスープ【冷製スープ】
れいせいパスタ【冷製パスタ】
れいぞうこ【冷蔵庫】
れいぞうしつ【冷蔵室】
れいぞうしゃ【冷蔵車】
れいぞくこく【隷属国】
れいだんぼうかんび【冷暖房完備】
れいだんぼうそうち【冷暖房装置】
れいちょうるい【霊長類】
れいとうき【冷凍器】
れいとうぎょ【冷凍魚】
れいとうこ【冷凍庫】
れいとうざい【冷凍剤】
れいとうしつ【冷凍室】
れいとうしゃ【冷凍車】
れいとうしょくひん【冷凍食品】
れいとうせん【冷凍船】
れいとうゆそう【冷凍輸送】
れいとうコンテナ【冷凍コンテナ】
れいはいしき【礼拝式】
れいはいしゃ【礼拝者】
れいはいどう【礼拝堂】
れいぼうしゃ【冷房車】
れいぼうそうち【冷房装置】
れいぼうびょう【冷房病】
れいめいき【黎明期】
れきしか【歴史家】
れきしかん【歴史観】
れきしがく【歴史学】
れきしがくは【歴史学派】
れきしげき【歴史劇】
れきししゅぎ【歴史主義】
れきししょうせつ【歴史小説】
れきしてつがく【歴史哲学】
れきせいたん【瀝青炭】
れきせいウラン【瀝青ウラン】
れきだいし【歴代史】
れっかウラン【劣化ウラン】
れっかウランだん【劣化ウラン弾】
れっこくぎかいどうめい【列国議会同盟】
れっしゃしゅうちゅうせいぎょそうち【列車集中制御装置】
れっしゃじこ【列車事故】
れっしゃじこくひょう【列車時刻表】
れっしゃじどううんてんそうち【列車自動運転装置】
れっしゃじどうせいぎょそうち【列車自動制御装置】
れっしゃぼうがい【列車妨害】
れっせいいでん【劣性遺伝】
れっせいいでんし【劣性遺伝子】
れっせいけいしつ【劣性（遺伝）形質［個体］】
れっせきしゃ【列席者】
れっとうかん【劣等感】
れっとうせい【劣等生】
れんあいけっこん【恋愛結婚】
れんあいし【恋愛詩】
れんあいしじょうしゅぎ【恋愛至上主義】
れんあいしょうせつ【恋愛小説】
れんあいじけん【恋愛事件】
れんかはんばい【廉価販売】
れんかばん【廉価版】
れんかひん【廉価品】
れんがこう【煉瓦工［職人］】
れんがし【連歌師】
れんがづくり【煉瓦造り】
れんがべい【煉瓦塀】
れんがほどう【煉瓦舗道】
れんがや【煉瓦屋】
れんきせい【連記制】
れんきとうひょう【連記投票】
れんきんじゅつし【錬金術師】
れんけいプレー【連係プレー】
れんけつき【連結器】
れんけつけっさん【連結決算】
れんけつそうち【連結装置】
れんげざ【蓮華座】
れんごううんどうかい【連合運動会】
れんごうおおうりだし【連合大売出し】
れんごうぐん【連合軍】
れんごうこく【連合国】
れんごうせいけん【連合政権】
れんごうせきぐん【連合赤軍】
れんさいしょうせつ【連載小説】
れんさいまんが【連載漫画】
れんさいもの【連載物】
れんさじょうきゅうきん【連鎖状球菌】
れんさてん【連鎖店】
れんさとうさん【連鎖倒産】
れんさはんのう【連鎖反応】
れんざせい【連座制】
れんしゅうき【練習機】
れんしゅうきょく【練習曲】
れんしゅうじあい【練習試合】
れんしゅうじょ【練習所】
れんしゅうじょう【練習場】
れんしゅうせい【練習生】
れんしゅうせん【練習船】
れんしゅうちょう【練習帳】
れんしゅうもんだい【練習問題】
れんしょうふくしき【連勝複式】
れんしょにん【連署人】
れんじまど【連子窓】
れんせいどうじょう【錬成道場】
れんせんれんしょう【連戦連勝［敗］】
れんそうゲーム【連想ゲーム】
れんぞくかんすう【連続関数】
れんぞくしょうせつ【連続小説】
れんぞくせい【連続性】
れんぞくほうそうげき【連続放送劇】
れんぞくドラマ【連続ドラマ】
れんぞくホーマー【連続ホーマー】
れんたいかん【連帯感】
れんたいき【連隊旗】
れんたいさいむ【連帯債務】
れんたいさいむしゃ【連帯債務者】
れんたいさいむしょうしょ【連帯債務証書】
れんたいせきにん【連帯責任】
れんたいちょう【連隊長】
れんたいふくかん【連隊副官】
れんたいほしょう【連帯保証】
れんたいほしょうにん【連帯保証人】
れんたいほんぶ【連隊本部】
れんてつほう【錬鉄法】
れんてつろ【錬鉄炉】
れんどうき【連動機】
れんどうきょりけい【連動距離計】
れんどうそうち【連動装置】
れんぱつじゅう【連発銃】
れんぱんじょう【連判状】
れんぺいじょう【練兵場】
れんぽうかいぎ【連邦会議】
れんぽうぎんこう【連邦銀行】
れんぽうこっか【連邦国家】
れんぽうさいこうさいばんしょ【連邦最高裁判所】
れんぽうじゅんびせいど【連邦準備制度】
れんぽうせいど【連邦制度】
れんぽうせいふ【連邦政府】
れんぽうそうさきょく【連邦捜査局】
れんぽうとりひきいいんかい【連邦取引委員会】
れんぽうはさんほう【連邦破産法】
れんらくえき【連絡駅】
れんらくかいぎ【連絡会議】
れんらくがかり【連絡係】
れんらくきっぷ【連絡切符】
れんらくさき【連絡先】
れんらくしょうこう【連絡将校】
れんらくじむしょ【連絡事務所】
れんらくせん【連絡線】
れんらくばん【連絡板】
れんらくぶ【連絡部】
れんりつせいけん【連立政権】
れんりつないかく【連立内閣】
れんりつほうていしき【連立方程式】
れんりつよとう【連立与党】
レアチーズケーキ
レアメタル
レインコート
レインシューズ
レギュラーせんしゅ【レギュラー選手】
レギュラーガソリン
レギュラーコーヒー
レギュラーポジション
レギュラーメンバー
レコードファン
レコードプレイヤー
レザーカット
レザークラフト
レザークロス
レザーコート
レジぶくろ【レジ袋】
レジデンスエリア
レジャーさんぎょう【レジャー産業】
レジャーウエア
レジャーセンター
レスキューたい【レスキュー隊】
レスキューロボット
レターペーパー
レッスンプロ
レディーファースト
レトルトしょくひん【レトルト食品】
レトロファッション
レトロブーム
レバーペースト
レビューガール
レフェリーストップ
レフレクターランプ
レベルアップ
レベルダウン
レモンいろ【レモン色】
レモンしぼりき【レモン絞り器】
レモンすい【レモン水】
レモンジュース
レモンスカッシュ
レモンティー
レンジフード
レンズシャッター
レンズフード
レンタカー
レンタサイクル
レンタルビデオ
レンタルルーム
レントゲンぎし【レントゲン技師】
レントゲンけんさ【レントゲン検査】
レントゲンさつえい【レントゲン撮影】
レントゲンしゃしん【レントゲン写真】
レントゲンせん【レントゲン線】
レントゲンとうし【レントゲン透視】
レーザーかくゆうごう【レーザー核融合】
レーザーこうせん【レーザー光線】
レーザーしゅじゅつ【レーザー手術】
レーザーじゅう【レーザー銃】
レーザーちりょう【レーザー治療】
レーザーつうしん【レーザー通信】
レーザーのうしゅくほう【レーザー濃縮法】
レーザーディスク
レーザーディスクプレーヤー
レーザープリンター
レーザーメス
レースあみ【レース編み】
レースいと【レース糸】
レーダーきち【レーダー基地】
レーダーぎし【レーダー技師】
レーダーそうち【レーダー装置】
レーダーもう【レーダー網】
レーダースコープ
レーンジャーぶたい【レーンジャー部隊】
れいがいてき【例外的（に）】
れいぎただしく【礼儀正しく】
れいぐうする【冷遇する】
れいじする【例示する】
れいせいな【冷静な（に）】
れいぞくてきな【隷属的な】
れいたんな【冷淡な（に）】
れいてき【霊的】
れいてつな【冷徹な】
れいとうする【冷凍する】
れいはいする【礼拝する】
れいみょうな【霊妙な】
れいめいに【黎明に】
れっかする【劣化する】
れんあいけっこんする【恋愛結婚する】
れんかな【廉価な】
れんこうする【連行する】
れんごくの【煉獄の】
れんざする【連座する】
れんしゅうする【練習する】
れんせいする【錬成する】
れんせんする【連戦する】
れんぞくてきな【連続的な】
れんたいの【連帯の】
れんたいの【連隊の】
れんだんする【連弾する】
れんちょくな【廉直な】
れんどうする【連動する】
れんばんする【連判する】
れんぱつする【連発する】
れんぼする【恋慕する】
れんぽうの【連邦の】
れんようする【連用する】
れんらくする【連絡する】
れんらくする【連絡する】
レイアウトする
レシーブする
レスリングをする
レディーメードの
レトロの
レバノンの
レーヨンの
