ぞう【像】
ぞうだい【増大】
ぞうちく【増築】
ぞうちょう【増長】
ぞうてい【贈呈】
ぞうとう【贈答】
ぞうに【雑煮】
ぞうのし【象の死】
ぞうは【増派】
ぞうはい【増配】
ぞうはつ【増発】
ぞうはん【造反】
ぞうはんのうごき【造反の動き】
ぞうひびょう【象皮病】
ぞうひょう【雑兵】
ぞうびん【増便】
ぞうふ【臓腑】
ぞうふく【増幅】
ぞうぶつしゅ【造物主】
ぞうへい【増兵】
ぞうへい【造幣】
ぞうほ【増補】
ぞうほん【造本】
ぞうむし【象虫】
ぞうもつ【臓物】
ぞうよ【贈与】
ぞうり【草履】
ぞうりむし【草履虫】
ぞうりょう【増量】
ぞうりん【造林(学)】
ぞうりん【造林】
ぞうわい【贈賄】
ぞうわく【増枠】
ぞく【俗】
ぞく【属】
ぞく【賊】
ぞくあく【俗悪】
ぞくうけ【俗受け】
ぞくえい【続映】
ぞくえん【続演】
ぞくおん【続音】
ぞくぎいん【族議員】
ぞくぐん【賊軍】
ぞくけ【俗気】
ぞくご【俗語】
ぞくしゅう【俗習】
ぞくしゅう【俗臭】
ぞくしゅつ【続出】
ぞくしょう【俗称】
ぞくしん【俗信】
ぞくしん【続伸】
ぞくじ【俗事】
ぞくじ【俗字】
ぞくじ【俗耳】
ぞくじん【俗人】
ぞくじん【俗塵】
ぞくじんしゅぎ【属人主義】
ぞくする【属する】
ぞくせ【俗世】
ぞくせい【属性】
ぞくせけん【俗世間】
ぞくせつ【俗説】
ぞくぞく
ぞくぞく【続続】
ぞくちしゅぎ【属地主義】
ぞくちょう【族長】
ぞくっ
ぞくっぽい【俗っぽい】
ぞくとう【属島】
ぞくとう【続投】
ぞくとう【続騰】
ぞくねん【俗念】
ぞくはつ【続発】
ぞくはつせいりんぱふしゅ【続発性リンパ浮腫】
ぞくぶつ【俗物】
ぞくへん【続編】
ぞくほう【続報】
ぞくみょう【俗名】
ぞくむ【俗務】
ぞくめい【属名】
ぞくよう【俗謡】
ぞくらく【続落】
ぞくり【俗吏】
ぞくりゅう【俗流】
ぞくりゅうけっかく【粟粒結核】
ぞくりょう【属領】
ぞくろん【俗論】
ぞく－【続－】
ぞっか【俗化】
ぞっかい【俗界】
ぞっかい【続開】
ぞっかく【属格】
ぞっかん【続刊】
ぞっきぼん【ぞっき本】
ぞっきょく【俗曲】
ぞっこう【続行】
ぞっこく【属国】
ぞっこん
ぞっと
ぞりぞり
ぞろぞろ
ぞろり
ぞんがい【存外】
ぞんざい
ぞんじあげる【存じ上げる】
ぞんじる【存じる】
ぞんで【ゾンデ(棒)】
ぞんぶん【存分】
ぞんめい【存命】
ゾリゾリ
ゾル
ゾロアスターきょう【ゾロアスター教】
ゾンデ
ゾーン
－ぞ
－ぞい【－沿い】
－ぞう【－蔵】
－ぞく【－族】
－ぞめ【－初め】
－ぞろい【－揃い】
ぞうえいざい【造影剤】
ぞうえいち【造営地】
ぞうえいひ【造営費】
ぞうえいぶつ【造営物】
ぞうえんか【造園家】
ぞうえんじゅつ【造園術】
ぞうえんぶたい【増援部隊】
ぞうかがく【増加額】
ぞうかりつ【増加率】
ぞうがり【象狩り】
ぞうがんざいく【象眼細工】
ぞうがんし【象眼師】
ぞうきいしょく【臓器移植（手術）】
ぞうきいしょくネットワーク【臓器移植ネットワーク】
ぞうきていきょう【臓器提供】
ぞうきていきょういしカード【臓器提供意志カード】
ぞうきていきょうしゃ【臓器提供者】
ぞうきばいばい【臓器売買】
ぞうきばやし【雑木林】
ぞうきんがけ【雑巾掛け】
ぞうけいびじゅつ【造形美術】
ぞうけつきのう【造血機能】
ぞうけつきのうしょうがい【造血機能障害】
ぞうけつざい【増血剤】
ぞうけつしゃ【増結車】
ぞうけつそしき【造血組織】
ぞうげいろ【象牙色】
ぞうげかいがん【象牙海岸】
ぞうげざいく【象牙細工】
ぞうげしつ【象牙質】
ぞうごせいぶん【造語成分】
ぞうごほう【造語法】
ぞうざんうんどう【造山運動】
ぞうしかぶ【増資株】
ぞうしょか【蔵書家】
ぞうしょくそくど【増殖速度】
ぞうしょくろ【増殖炉】
ぞうしょひょう【蔵書票】
ぞうしょもくろく【蔵書目録】
ぞうせいち【造成地】
ぞうせいちいき【造成地域】
ぞうせんがいしゃ【造船会社】
ぞうせんがく【造船学】
ぞうせんぎし【造船技師】
ぞうせんぎょう【造船業】
ぞうせんじゅつ【造船術】
ぞうせんじょ【造船所】
ぞうせんだい【造船台】
ぞうだいごう【増大号】
ぞうちくこうじ【増築工事】
ぞうちくひ【増築費】
ぞうつかい【象遣い】
ぞうていしき【贈呈式】
ぞうていしゃ【贈呈者】
ぞうていひん【贈呈品】
ぞうていぼん【贈呈本】
ぞうとうひん【贈答品】
ぞうとうひんうりば【贈答品売り場】
ぞうはんしゃ【造反者】
ぞうはんゆうり【造反有理】
ぞうふくき【増幅器】
ぞうへいきょく【造幣局】
ぞうほかいていばん【増補改訂版】
ぞうほんぎじゅつ【造本技術】
ぞうよしゃ【贈与者】
ぞうよぜい【贈与税】
ぞうわいざい【贈賄罪】
ぞうわいしゃ【贈賄者】
ぞうわいじけん【贈賄事件】
ぞくぶつこんじょう【俗物根性】
ぞくめい【属名】
ゾロアスターきょうと【ゾロアスター教徒】
ぞうげのとう【象牙の塔】
ぞういんする【増員する】
ぞうえいする【造営する】
ぞうえんする【増援する】
ぞうおする【憎悪する】
ぞうかする【増加する】
ぞうかんする【増刊する】
ぞうげいろの【象牙色の】
ぞうげんする【増減する】
ぞうごする【造語する】
ぞうしする【増資する】
ぞうしょくする【増殖する】
ぞうしんする【増進する】
ぞうせいする【造成する】
ぞうせんする【造船する】
ぞうだいする【増大する】
ぞうていする【贈呈する】
ぞうとうする【贈答する】
ぞうはいする【増配する】
ぞうはんする【造反する】
ぞうふくする【増幅する】
ぞうへいする【増兵する】
ぞうへいする【造幣する】
ぞうほする【増補する】
ぞうほんする【造本する】
ぞうりんする【造林する】
ぞうわいする【贈賄する】
ぞくあくな【俗悪な】
ぞくしゅつする【続出する】
ぞくぞくする
ぞくちょうの【族長の】
ぞくとうする【続投する】
ぞくとうする【続騰する】
ぞくに【俗に】
ぞくぶつこんじょうの【俗物根性の】
ぞくらくする【続落する】
ぞっかいする【続開する】
ぞっかする【俗化する】
ぞっかんする【続刊する】
ぞっこうする【続行する】
ぞんざいな
